pearson,p,lon,lat,Country,pattern
0.164186158,0.318,100.125,13.125,Thailand,intensifying hot spot
-0.491324723,0.001,100.125,13.375,Thailand,intensifying hot spot
-0.53143951,0.001,100.125,13.625,Thailand,intensifying hot spot
-0.580333802,0,100.125,13.875,Thailand,intensifying hot spot
-0.40686619,0.01,100.125,14.125,Thailand,intensifying hot spot
-0.363968392,0.023,100.125,14.375,Thailand,intensifying hot spot
-0.313130885,0.052,100.125,14.625,Thailand,intensifying hot spot
-0.211198517,0.197,100.125,14.875,Thailand,intensifying hot spot
-0.133510705,0.418,100.125,15.125,Thailand,intensifying hot spot
-0.277388341,0.087,100.125,15.375,Thailand,intensifying hot spot
-0.350494881,0.029,100.125,15.625,Thailand,intensifying hot spot
-0.415972238,0.008,100.125,15.875,Thailand,intensifying hot spot
-0.212262664,0.201,100.125,16.375,Thailand,intensifying hot spot
-0.528874483,0.001,100.375,13.625,Thailand,intensifying hot spot
-0.686162508,0,100.375,13.875,Thailand,intensifying hot spot
-0.517508954,0.001,100.375,14.125,Thailand,intensifying hot spot
-0.458450088,0.003,100.375,14.375,Thailand,intensifying hot spot
-0.337373483,0.036,100.375,14.625,Thailand,intensifying hot spot
-0.234693696,0.15,100.375,14.875,Thailand,intensifying hot spot
-0.155838879,0.35,100.375,15.125,Thailand,intensifying hot spot
-0.222661545,0.173,100.375,15.375,Thailand,intensifying hot spot
-0.239507933,0.148,100.375,15.625,Thailand,intensifying hot spot
-0.282202445,0.086,100.375,15.875,Thailand,intensifying hot spot
-0.20331683,0.214,100.375,16.125,Thailand,intensifying hot spot
-0.380779292,0.018,100.375,16.375,Thailand,intensifying hot spot
-0.14877345,0.366,100.625,13.625,Thailand,intensifying hot spot
-0.166323719,0.318,100.625,13.875,Thailand,intensifying hot spot
-0.454097284,0.004,100.625,14.125,Thailand,intensifying hot spot
-0.545336778,0,100.625,14.375,Thailand,intensifying hot spot
-0.450895604,0.004,100.625,14.625,Thailand,intensifying hot spot
-0.240249555,0.141,100.625,14.875,Thailand,intensifying hot spot
-0.267909324,0.099,100.625,15.125,Thailand,intensifying hot spot
-0.356122067,0.026,100.625,15.375,Thailand,intensifying hot spot
-0.22894657,0.161,100.625,15.625,Thailand,intensifying hot spot
-0.382037684,0.016,100.625,15.875,Thailand,intensifying hot spot
-0.164297304,0.324,100.625,16.125,Thailand,intensifying hot spot
-0.561369203,0,100.875,12.625,Thailand,intensifying hot spot
-0.610090698,0,100.875,12.875,Thailand,intensifying hot spot
-0.367554972,0.021,100.875,13.125,Thailand,intensifying hot spot
-0.365475513,0.022,100.875,13.375,Thailand,intensifying hot spot
-0.152975413,0.353,100.875,13.625,Thailand,intensifying hot spot
-0.075699322,0.651,100.875,13.875,Thailand,intensifying hot spot
-0.234993977,0.161,100.875,14.125,Thailand,intensifying hot spot
-0.392419109,0.015,100.875,14.375,Thailand,intensifying hot spot
-0.42611005,0.008,100.875,14.625,Thailand,intensifying hot spot
-0.305039101,0.059,100.875,14.875,Thailand,intensifying hot spot
-0.242607884,0.137,100.875,15.125,Thailand,intensifying hot spot
-0.198554561,0.232,100.875,15.375,Thailand,intensifying hot spot
-0.012673624,0.94,100.875,15.625,Thailand,intensifying hot spot
-0.55759951,0,101.125,12.625,Thailand,intensifying hot spot
-0.161332401,0.327,101.125,12.875,Thailand,intensifying hot spot
0.021786494,0.895,101.125,13.125,Thailand,intensifying hot spot
0.109716377,0.506,101.125,13.375,Thailand,intensifying hot spot
-0.012718142,0.939,101.125,13.625,Thailand,intensifying hot spot
0.0592989,0.72,101.125,13.875,Thailand,intensifying hot spot
-0.171875743,0.309,101.125,14.125,Thailand,intensifying hot spot
-0.191932288,0.242,101.125,14.375,Thailand,intensifying hot spot
-0.378437157,0.019,101.125,14.625,Thailand,intensifying hot spot
-0.211607987,0.196,101.125,14.875,Thailand,intensifying hot spot
-0.24170648,0.15,101.125,15.125,Thailand,intensifying hot spot
-0.106942469,0.529,101.125,15.375,Thailand,intensifying hot spot
-0.26736019,0.11,101.125,15.625,Thailand,intensifying hot spot
-0.187200849,0.254,101.375,12.625,Thailand,intensifying hot spot
0.247507076,0.129,101.375,12.875,Thailand,intensifying hot spot
0.148964228,0.365,101.375,13.125,Thailand,intensifying hot spot
0.285957821,0.078,101.375,13.375,Thailand,intensifying hot spot
0.172640805,0.293,101.375,13.625,Thailand,intensifying hot spot
-0.200243814,0.228,101.375,13.875,Thailand,intensifying hot spot
-0.106938008,0.523,101.375,14.125,Thailand,intensifying hot spot
0.013737905,0.936,101.375,14.375,Thailand,intensifying hot spot
-0.219455423,0.186,101.375,14.625,Thailand,intensifying hot spot
-0.174043273,0.289,101.375,14.875,Thailand,intensifying hot spot
-0.259552105,0.116,101.375,15.125,Thailand,intensifying hot spot
-0.369244477,0.021,101.375,15.375,Thailand,intensifying hot spot
-0.108388209,0.517,101.375,15.625,Thailand,intensifying hot spot
-0.031942835,0.849,101.375,15.875,Thailand,intensifying hot spot
-0.418289142,0.008,101.375,2.875,Malaysia,intensifying hot spot
-0.290510524,0.073,101.375,3.125,Malaysia,intensifying hot spot
-0.059855012,0.717,101.625,1.875,Indonesia,intensifying hot spot
0.014127305,0.932,101.625,12.625,Thailand,intensifying hot spot
0.108705608,0.51,101.625,12.875,Thailand,intensifying hot spot
0.073808034,0.655,101.625,13.125,Thailand,intensifying hot spot
