first,system:index,SHAPE_Length,ENGTYPE_4,Join_Count,NAME_2,NAME_3,SHAPE_Area,TARGET_FID,NAME_0,NAME_1,OID_,NAME_4,Centroid_Y,GID_0,Centroid_X
1.2882709644763054E-5,0,1,Village,1,Jember,Puger,0.0625,7391,Indonesia,Jawa Timur,7391,Puger Kulon,-8.624999999999943,IDN,113.37500000000011
8.911511038982395E-6,1,1,Village,2,Jember,Tempurejo,0.0625,7392,Indonesia,Jawa Timur,7392,Andongrejo,-8.624999999999943,IDN,113.62500000000011
1.5516149073881354E-5,2,1,Village,1,Pacitan,Pringkuku,0.0625,7549,Indonesia,Jawa Timur,7549,Candi,-8.374999999999943,IDN,110.87500000000004
1.6173597116703395E-5,3,1,Village,11,Pacitan,Kebonagung,0.0625,7550,Indonesia,Jawa Timur,7550,Kalipelus,-8.374999999999943,IDN,111.12500000000004
1.834769675918771E-5,4,1,Village,15,Pacitan,Ngadirojo,0.0625,7551,Indonesia,Jawa Timur,7551,Hadiwarno,-8.374999999999943,IDN,111.37500000000004
1.8916330800095842E-5,5,1,Village,28,Trenggalek,Dongko,0.0625,7552,Indonesia,Jawa Timur,7552,Pandean,-8.374999999999943,IDN,111.62500000000004
1.5787963222595038E-5,6,1.000000000000114,Village,13,Trenggalek,Watulimo,0.062500000000014,7553,Indonesia,Jawa Timur,7553,Tasikmadu,-8.374999999999943,IDN,111.87500000000009
1.9009590516522458E-5,7,1,Village,26,Blitar,Bakung,0.0625,7554,Indonesia,Jawa Timur,7554,Bakung,-8.374999999999943,IDN,112.12500000000011
2.0586644100223568E-5,8,1,Village,35,Blitar,Binangun,0.0625,7555,Indonesia,Jawa Timur,7555,Binangun,-8.374999999999943,IDN,112.37500000000011
1.953530465676036E-5,9,1,Village,39,Malang,Bantur,0.0625,7556,Indonesia,Jawa Timur,7556,Bandungrejo,-8.374999999999943,IDN,112.62500000000011
