first,system:index,lat,lon
1.5990880310926843E-5,0,-8.625,113.375
1.3911170903909512E-5,1,-8.625,113.625
1.116284125365889E-5,2,-8.375,110.875
1.1451266010353555E-5,3,-8.375,111.125
1.0858207342990293E-5,4,-8.375,111.375
1.1562837019746491E-5,5,-8.375,111.625
1.2693616084776482E-5,6,-8.375,111.875
1.2817294871292468E-5,7,-8.375,112.125
1.473055308422589E-5,8,-8.375,112.375
1.3315485758000512E-5,9,-8.375,112.625
1.0843572897760462E-5,10,-8.375,112.875
1.6017342120853128E-5,11,-8.375,113.125
1.3714476744190059E-5,12,-8.375,113.375
1.441600741912224E-5,13,-8.375,113.625
1.6219100869590802E-5,14,-8.125,110.125
1.7908907030932484E-5,15,-8.125,110.375
1.8204851492346298E-5,16,-8.125,110.625
1.1594114007988003E-5,17,-8.125,110.875
,18,-8.125,111.125
,19,-8.125,111.375
1.0280823251344382E-5,20,-8.125,111.625
1.4094582975541845E-5,21,-8.125,111.875
1.510220757816336E-5,22,-8.125,112.125
,23,-8.125,112.375
9.737175273205985E-6,24,-8.125,112.625
,25,-8.125,112.875
,26,-8.125,113.125
1.5427024639835717E-5,27,-8.125,113.375
1.2084515329521822E-5,28,-8.125,113.625
2.3300116159880384E-5,29,-7.875,108.125
1.5129744870087067E-5,30,-7.875,108.375
1.4851447368515218E-5,31,-7.875,108.625
1.2505512830339483E-5,32,-7.875,108.875
1.7588792037274015E-5,33,-7.875,109.125
1.2828726356384412E-5,34,-7.875,109.375
1.0587003364392861E-5,35,-7.875,109.625
1.2563072657009014E-5,36,-7.875,109.875
1.818270472810901E-5,37,-7.875,110.125
1.6348395240124778E-5,38,-7.875,110.375
1.4611736682356925E-5,39,-7.875,110.625
2.424403736564487E-5,40,-7.875,110.875
4.5315719076944245E-6,41,-7.875,111.125
1.538813309086789E-5,42,-7.875,111.375
1.724529063266253E-5,43,-7.875,111.625
1.4977385980191625E-5,44,-7.875,111.875
2.0509807555657924E-5,45,-7.875,112.125
1.5974883306138377E-5,46,-7.875,112.375
1.4300402015547374E-5,47,-7.875,112.625
,48,-7.875,112.875
4.541425439096209E-5,49,-7.875,113.125
2.4449398443747684E-5,50,-7.875,113.375
,51,-7.875,113.625
,52,-7.625,107.375
,53,-7.625,107.625
,54,-7.625,107.875
,55,-7.625,108.125
,56,-7.625,108.375
,57,-7.625,108.625
,58,-7.625,108.875
3.744904836557268E-5,59,-7.625,109.125
,60,-7.625,109.375
,61,-7.625,109.625
,62,-7.625,109.875
1.790482743644573E-5,63,-7.625,110.125
2.916862804365066E-5,64,-7.625,110.375
2.7814940724890613E-5,65,-7.625,110.625
3.1923543773035307E-5,66,-7.625,110.875
2.5500105704567745E-6,67,-7.625,111.125
1.9264939060561042E-5,68,-7.625,111.375
2.4374533071164637E-5,69,-7.625,111.625
2.4243086892964075E-5,70,-7.625,111.875
2.6455976297882903E-5,71,-7.625,112.125
3.966201080560824E-5,72,-7.625,112.375
3.514573149561927E-5,73,-7.625,112.625
2.2041394186095282E-5,74,-7.625,112.875
