first,system:index,Country,lon,Code,lat
2.876179757992914E-6,0,Indonesia,138.625,IDN,-4.375
,1,Indonesia,103.875,IDN,-4.375
,2,Vietnam,104.625,VNM,22.625
,3,Indonesia,99.625,IDN,0.875
1.6504551699756822E-7,4,Indonesia,115.875,IDN,-0.125
,5,Indonesia,110.375,IDN,0.875
3.0012675135215688E-5,6,Myanmar,98.125,MMR,20.375
1.8324892202190084E-5,7,Laos,105.625,LAO,17.625
3.114461996850483E-5,8,Vietnam,107.625,VNM,12.625
-4.15144708865333E-7,9,Indonesia,137.125,IDN,-3.625
5.445362173557376E-5,10,Thailand,101.375,THA,12.875
8.19041787762255E-7,11,Indonesia,120.125,IDN,-3.125
,12,Indonesia,115.625,IDN,-2.125
,13,Laos,101.375,LAO,21.125
9.723012382279496E-6,14,Myanmar,99.125,MMR,11.625
3.385585519799886E-5,15,Thailand,102.375,THA,14.375
1.8701426859084262E-5,16,Laos,100.625,LAO,19.875
,17,Indonesia,109.875,IDN,-7.375
1.7563452054379404E-5,18,Myanmar,95.875,MMR,19.375
1.4327299975030633E-5,19,Myanmar,98.375,MMR,23.125
1.4556298746110258E-5,20,Myanmar,96.625,MMR,19.875
,21,Indonesia,113.125,IDN,-7.875
,22,Myanmar,96.625,MMR,24.875
3.155262611118336E-5,23,Thailand,102.875,THA,17.125
5.7190206403206334E-6,24,Malaysia,109.625,MYS,1.875
1.6660772420656465E-5,25,Thailand,97.875,THA,17.625
,26,Vietnam,108.875,VNM,15.125
,27,Indonesia,114.875,IDN,1.625
2.7633051684635574E-6,28,Indonesia,137.375,IDN,-3.125
-1.5047355891980607E-6,29,Indonesia,140.875,IDN,-2.875
1.6286711420473695E-5,30,Laos,105.625,LAO,16.875
6.643778451215809E-6,31,Philippines,122.875,PHL,14.125
,32,Indonesia,112.875,IDN,1.375
,33,Vietnam,106.375,VNM,22.625
,34,Indonesia,119.875,IDN,-4.625
3.6602845912224226E-5,35,Thailand,100.375,THA,16.125
,36,Indonesia,109.375,IDN,0.125
2.0062755087955173E-5,37,Laos,101.875,LAO,19.375
-1.2591560053612834E-6,38,Indonesia,136.625,IDN,-2.875
,39,Cambodia,103.375,KHM,12.125
2.5343370727903215E-5,40,Thailand,102.125,THA,16.125
9.491100749898253E-6,41,Indonesia,131.625,IDN,-7.375
4.1996495391909646E-5,42,Thailand,101.125,THA,15.625
3.6280033134530965E-5,43,Thailand,101.625,THA,13.625
1.6800907370695607E-6,44,Indonesia,108.875,IDN,-1.625
2.0451372458411136E-5,45,Thailand,103.875,THA,16.375
2.8784944444265027E-5,46,Indonesia,96.875,IDN,5.125
1.6523485832283662E-5,47,Laos,105.625,LAO,16.625
9.025615319115253E-6,48,Indonesia,130.375,IDN,-2.125
,49,Indonesia,139.625,IDN,-4.625
,50,Philippines,123.875,PHL,10.375
,51,Malaysia,112.125,MYS,2.625
,52,Vietnam,105.375,VNM,9.375
2.8000563628265943E-5,53,Cambodia,107.375,KHM,12.625
4.383496475337617E-6,54,Indonesia,139.375,IDN,-2.375
8.477355319525713E-6,55,Myanmar,99.125,MMR,13.125
1.3345618331977529E-5,56,Thailand,99.875,THA,12.125
1.55201707466033E-5,57,Laos,101.625,LAO,19.625
5.371011411930551E-5,58,Cambodia,106.875,KHM,12.375
,59,Indonesia,113.125,IDN,0.625
5.6742997085585575E-6,60,Indonesia,139.375,IDN,-3.875
,61,Indonesia,120.125,IDN,-2.875
2.146596311066979E-5,62,Indonesia,102.875,IDN,0.625
,63,Indonesia,117.125,IDN,2.625
2.7009194935919794E-5,64,Laos,100.125,LAO,20.375
1.951882307903663E-5,65,Myanmar,96.625,MMR,23.125
,66,Vietnam,105.625,VNM,9.375
,67,Cambodia,106.875,KHM,13.625
1.541306362677814E-5,68,Laos,105.375,LAO,17.625
2.3839630936845406E-5,69,Thailand,100.875,THA,18.125
1.4004494663230031E-5,70,Indonesia,104.875,IDN,-3.125
3.4836380583268096E-5,71,Thailand,100.625,THA,16.375
9.386242959914143E-6,72,Indonesia,103.625,IDN,-4.625
,73,Indonesia,115.375,IDN,-2.625
1.757131631101498E-5,74,Thailand,101.125,THA,19.375
,75,Indonesia,132.875,IDN,-3.875
-5.816854062457963E-7,76,Indonesia,134.625,IDN,-6.125
1.9467027238724844E-5,77,Indonesia,98.875,IDN,3.625
1.4608035830428088E-5,78,Myanmar,95.375,MMR,24.875
4.712789682941412E-6,79,Indonesia,116.125,IDN,-0.875
,80,Cambodia,105.125,KHM,13.125
3.660751390824542E-6,81,Indonesia,133.625,IDN,-0.875
,82,Cambodia,105.875,KHM,11.875
2.322354454085935E-5,83,Myanmar,94.875,MMR,19.375
6.6028127288581775E-6,84,Indonesia,127.125,IDN,-0.375
2.905939159787529E-5,85,Myanmar,92.375,MMR,20.875
5.731126563839872E-6,86,Indonesia,137.125,IDN,-3.375
,87,Philippines,121.875,PHL,16.625
,88,Philippines,123.625,PHL,12.125
6.975816391869172E-6,89,Indonesia,116.375,IDN,-2.625
,90,Indonesia,117.875,IDN,1.375
,91,Indonesia,117.125,IDN,0.625
