first,system:index,Country,lon,Code,lat
5.704282135565421E-6,0,Indonesia,138.625,IDN,-4.375
6.822641044281591E-6,1,Indonesia,103.875,IDN,-4.375
2.7676184653863774E-5,2,Vietnam,104.625,VNM,22.625
8.959671066924821E-6,3,Indonesia,99.625,IDN,0.875
6.988734171710543E-6,4,Indonesia,115.875,IDN,-0.125
4.852131021771268E-6,5,Indonesia,110.375,IDN,0.875
1.181255825440142E-5,6,Myanmar,98.125,MMR,20.375
2.3571091471825647E-5,7,Laos,105.625,LAO,17.625
9.143374315269244E-6,8,Vietnam,107.625,VNM,12.625
4.5463624234209355E-6,9,Indonesia,137.125,IDN,-3.625
2.402720148873114E-5,10,Thailand,101.375,THA,12.875
5.2027125993362575E-6,11,Indonesia,120.125,IDN,-3.125
1.2019861475356716E-5,12,Indonesia,115.625,IDN,-2.125
1.3481700868266913E-5,13,Laos,101.375,LAO,21.125
1.5509486890661005E-5,14,Myanmar,99.125,MMR,11.625
2.0714252180022736E-5,15,Thailand,102.375,THA,14.375
1.4466124815189803E-5,16,Laos,100.625,LAO,19.875
1.44460580149782E-5,17,Indonesia,109.875,IDN,-7.375
1.1994943250048519E-5,18,Myanmar,95.875,MMR,19.375
9.923976465749505E-6,19,Myanmar,98.375,MMR,23.125
1.04223761539938E-5,20,Myanmar,96.625,MMR,19.875
3.579789095496592E-5,21,Indonesia,113.125,IDN,-7.875
7.804495558705252E-6,22,Myanmar,96.625,MMR,24.875
2.5910923813415046E-5,23,Thailand,102.875,THA,17.125
9.16016745419163E-6,24,Malaysia,109.625,MYS,1.875
1.192540238816796E-5,25,Thailand,97.875,THA,17.625
1.908211550282188E-5,26,Vietnam,108.875,VNM,15.125
5.691593461511089E-6,27,Indonesia,114.875,IDN,1.625
5.3796187830699736E-6,28,Indonesia,137.375,IDN,-3.125
3.5333269158968364E-6,29,Indonesia,140.875,IDN,-2.875
2.1368147845187786E-5,30,Laos,105.625,LAO,16.875
6.530851266916395E-6,31,Philippines,122.875,PHL,14.125
4.136804520015798E-6,32,Indonesia,112.875,IDN,1.375
2.7556459006181403E-5,33,Vietnam,106.375,VNM,22.625
5.646699311965377E-6,34,Indonesia,119.875,IDN,-4.625
2.8049084407888355E-5,35,Thailand,100.375,THA,16.125
9.383034702899084E-6,36,Indonesia,109.375,IDN,0.125
1.1941870799218196E-5,37,Laos,101.875,LAO,19.375
4.815980087566823E-6,38,Indonesia,136.625,IDN,-2.875
1.0084402467116476E-5,39,Cambodia,103.375,KHM,12.125
2.111073311146501E-5,40,Thailand,102.125,THA,16.125
4.7333839420401475E-6,41,Indonesia,131.625,IDN,-7.375
2.6510250579542578E-5,42,Thailand,101.125,THA,15.625
2.17579332142045E-5,43,Thailand,101.625,THA,13.625
9.810341703867424E-6,44,Indonesia,108.875,IDN,-1.625
2.2321375624255707E-5,45,Thailand,103.875,THA,16.375
1.3236504780564878E-5,46,Indonesia,96.875,IDN,5.125
2.0264646592618522E-5,47,Laos,105.625,LAO,16.625
4.14589368556302E-6,48,Indonesia,130.375,IDN,-2.125
4.662593582693771E-6,49,Indonesia,139.625,IDN,-4.625
2.0156023309799015E-5,50,Philippines,123.875,PHL,10.375
7.087090085647374E-6,51,Malaysia,112.125,MYS,2.625
2.166769584041649E-5,52,Vietnam,105.375,VNM,9.375
7.4587977526564005E-6,53,Cambodia,107.375,KHM,12.625
5.9220033544277824E-6,54,Indonesia,139.375,IDN,-2.375
1.6303521664212227E-5,55,Myanmar,99.125,MMR,13.125
2.632813509935546E-5,56,Thailand,99.875,THA,12.125
1.322628850486358E-5,57,Laos,101.625,LAO,19.625
1.329199093876112E-5,58,Cambodia,106.875,KHM,12.375
8.388817045829707E-6,59,Indonesia,113.125,IDN,0.625
4.317446140350253E-6,60,Indonesia,139.375,IDN,-3.875
6.941001463457626E-6,61,Indonesia,120.125,IDN,-2.875
1.374415331260655E-5,62,Indonesia,102.875,IDN,0.625
6.240980109148959E-6,63,Indonesia,117.125,IDN,2.625
1.753062331862574E-5,64,Laos,100.125,LAO,20.375
1.0194965990781395E-5,65,Myanmar,96.625,MMR,23.125
2.0296387904132396E-5,66,Vietnam,105.625,VNM,9.375
1.3560592796433994E-5,67,Cambodia,106.875,KHM,13.625
2.3210495844988142E-5,68,Laos,105.375,LAO,17.625
1.5177863471047466E-5,69,Thailand,100.875,THA,18.125
1.9216447704464275E-5,70,Indonesia,104.875,IDN,-3.125
2.8030359999103062E-5,71,Thailand,100.625,THA,16.375
1.13356592726669E-5,72,Indonesia,103.625,IDN,-4.625
8.407817204097265E-6,73,Indonesia,115.375,IDN,-2.625
1.2339247096384318E-5,74,Thailand,101.125,THA,19.375
4.781064495653413E-6,75,Indonesia,132.875,IDN,-3.875
5.438513819225596E-6,76,Indonesia,134.625,IDN,-6.125
2.4302666043024317E-5,77,Indonesia,98.875,IDN,3.625
1.7525990291224527E-5,78,Myanmar,95.375,MMR,24.875
6.421676873585974E-6,79,Indonesia,116.125,IDN,-0.875
1.1456271342993947E-5,80,Cambodia,105.125,KHM,13.125
7.792413629297732E-6,81,Indonesia,133.625,IDN,-0.875
1.7314239064915698E-5,82,Cambodia,105.875,KHM,11.875
1.2021958190159742E-5,83,Myanmar,94.875,MMR,19.375
8.36992868016066E-6,84,Indonesia,127.125,IDN,-0.375
1.495769402796606E-5,85,Myanmar,92.375,MMR,20.875
5.50591057155131E-6,86,Indonesia,137.125,IDN,-3.375
1.0328631821355997E-5,87,Philippines,121.875,PHL,16.625
6.753197090050237E-6,88,Philippines,123.625,PHL,12.125
6.625849715626393E-6,89,Indonesia,116.375,IDN,-2.625
8.62178970945971E-6,90,Indonesia,117.875,IDN,1.375
8.333016392314355E-6,91,Indonesia,117.125,IDN,0.625
1.6366146027591822E-5,92,Thailand,98.625,THA,18.625
1.0786610124634581E-5,93,Myanmar,94.125,MMR,20.875
