first,system:index,lat,lon
1.4529122237258268E-5,0,-8.625,113.375
1.1249669249773111E-5,1,-8.625,113.625
1.4161979237636722E-5,2,-8.375,110.875
1.0491906536877385E-5,3,-8.375,111.125
1.2402144614413818E-5,4,-8.375,111.375
8.191202056591837E-6,5,-8.375,111.625
1.775604142957851E-5,6,-8.375,111.875
1.5958191793373157E-5,7,-8.375,112.125
1.3456927952108884E-5,8,-8.375,112.375
1.3943071394007002E-5,9,-8.375,112.625
1.1127116201899257E-5,10,-8.375,112.875
1.471442313294092E-5,11,-8.375,113.125
1.9179499562525645E-5,12,-8.375,113.375
2.1348016561185765E-5,13,-8.375,113.625
1.890936723039415E-5,14,-8.125,110.125
1.8900034768547496E-5,15,-8.125,110.375
1.5605888071649395E-5,16,-8.125,110.625
1.332668248343793E-5,17,-8.125,110.875
7.181430958807448E-6,18,-8.125,111.125
1.057515720229602E-5,19,-8.125,111.375
7.916320014815984E-6,20,-8.125,111.625
8.222813051002897E-6,21,-8.125,111.875
1.2300669859976838E-5,22,-8.125,112.125
1.4469727542530486E-5,23,-8.125,112.375
1.3835529420398509E-5,24,-8.125,112.625
-1.1020124680662684E-6,25,-8.125,112.875
8.818765426018292E-6,26,-8.125,113.125
1.1768130491995925E-5,27,-8.125,113.375
1.845099782004253E-5,28,-8.125,113.625
1.2786234213243E-5,29,-7.875,108.125
7.447299861634428E-6,30,-7.875,108.375
1.7173969212460482E-5,31,-7.875,108.625
1.8522579120984993E-5,32,-7.875,108.875
3.2869565624717894E-5,33,-7.875,109.125
2.906161669782997E-5,34,-7.875,109.375
3.405221523508285E-5,35,-7.875,109.625
1.950326386757969E-5,36,-7.875,109.875
1.341181671204452E-5,37,-7.875,110.125
1.7463379814563825E-5,38,-7.875,110.375
2.4685100172862936E-5,39,-7.875,110.625
2.318038417474093E-5,40,-7.875,110.875
1.4001831461871083E-5,41,-7.875,111.125
2.1186692470041947E-5,42,-7.875,111.375
1.5158740076665158E-5,43,-7.875,111.625
1.4304835100165613E-5,44,-7.875,111.875
1.887881925730512E-5,45,-7.875,112.125
1.3335080793757174E-5,46,-7.875,112.375
2.728394192404055E-5,47,-7.875,112.625
,48,-7.875,112.875
3.527066601708143E-5,49,-7.875,113.125
2.5400589105846E-5,50,-7.875,113.375
4.601207146917848E-5,51,-7.875,113.625
1.3820625082898918E-5,52,-7.625,107.375
1.4732228229517452E-5,53,-7.625,107.625
1.2458314410764261E-5,54,-7.625,107.875
1.608469308886274E-5,55,-7.625,108.125
1.8114747377860872E-5,56,-7.625,108.375
1.1372890044659577E-5,57,-7.625,108.625
1.8805873238052615E-5,58,-7.625,108.875
2.733910518902301E-5,59,-7.625,109.125
2.991509368082981E-5,60,-7.625,109.375
3.60754670548996E-5,61,-7.625,109.625
1.5964569313626764E-5,62,-7.625,109.875
1.3294700706249048E-5,63,-7.625,110.125
1.7563131132611146E-5,64,-7.625,110.375
1.7054142380764923E-5,65,-7.625,110.625
2.461209529077667E-5,66,-7.625,110.875
2.3148912506033438E-5,67,-7.625,111.125
1.9559338169746526E-5,68,-7.625,111.375
3.432468278611373E-5,69,-7.625,111.625
1.5077880205893218E-5,70,-7.625,111.875
1.6367930868291145E-5,71,-7.625,112.125
2.5906299236517335E-5,72,-7.625,112.375
3.012068918124505E-5,73,-7.625,112.625
4.6218760692255677E-5,74,-7.625,112.875
4.003438749866653E-5,75,-7.625,113.125
4.2141608229901335E-5,76,-7.625,113.375
