first,system:index,lat,lon
5.642624138435061E-5,0,31.875,119.875
,1,31.625,119.875
,2,31.375,119.875
,3,31.125,119.875
,4,30.875,119.875
,5,30.625,119.875
,6,30.375,119.875
,7,30.125,119.875
1.09660199129955E-4,8,29.875,119.875
7.163196833807756E-5,9,29.625,119.875
5.9835252743162274E-5,10,29.375,119.875
9.061814622680533E-5,11,29.125,119.875
6.121311386211257E-5,12,28.875,119.875
4.038026153793369E-5,13,28.625,119.875
,14,28.375,119.875
2.6057225950341385E-5,15,28.125,119.875
3.267551881454739E-5,16,27.875,119.875
3.2195896283073265E-5,17,27.625,119.875
2.7708962523156586E-5,18,27.375,119.875
3.276075821572644E-5,19,27.125,119.875
9.74800928539191E-5,20,26.875,119.875
5.904128885342524E-5,21,26.625,119.875
5.25435302808397E-5,22,26.375,119.875
4.93739058249439E-5,23,26.125,119.875
4.734507130292559E-5,24,25.875,119.875
4.182504486189851E-5,25,25.625,119.875
3.64448027194323E-5,26,25.375,119.875
4.397639116532112E-5,27,25.125,119.875
4.191374385816217E-5,28,24.875,119.875
3.646351521503774E-5,29,24.625,119.875
3.093031021878195E-5,30,24.375,119.875
2.79050087720422E-5,31,24.125,119.875
3.524700397350887E-5,32,23.875,119.875
3.293394376741773E-5,33,23.625,119.875
3.013542040636924E-5,34,23.375,119.875
2.947472874009921E-5,35,23.125,119.875
2.5443786409100885E-5,36,22.875,119.875
2.6577225581992877E-5,37,22.625,119.875
2.650093039214521E-5,38,22.375,119.875
2.8397176934683402E-5,39,22.125,119.875
2.7828093485189034E-5,40,21.875,119.875
1.9862568747895206E-5,41,21.625,119.875
1.6745547818989844E-5,42,21.375,119.875
1.3459994317050155E-5,43,21.125,119.875
9.853676183962969E-6,44,20.875,119.875
8.386110891362955E-6,45,20.625,119.875
1.1938827373289069E-5,46,20.375,119.875
1.079791812790319E-5,47,20.125,119.875
9.093470159086648E-6,48,19.875,119.875
1.3641224052673633E-5,49,19.625,119.875
1.1438286713957676E-5,50,19.375,119.875
1.1592563893042009E-5,51,19.125,119.875
1.171799652986322E-5,52,18.875,119.875
1.6754781493477908E-5,53,18.625,119.875
1.700650517699508E-5,54,18.375,119.875
1.6511929424424442E-5,55,18.125,119.875
1.5161063210290945E-5,56,17.875,119.875
1.2934775495266719E-5,57,17.625,119.875
1.3067026700092577E-5,58,17.375,119.875
1.4867616821033336E-5,59,17.125,119.875
1.3380174319782534E-5,60,16.875,119.875
1.2534842761329294E-5,61,16.625,119.875
1.3343645441276881E-5,62,16.375,119.875
2.3868320535986573E-5,63,16.125,119.875
1.5321153096176037E-5,64,15.875,119.875
2.2128105092486246E-5,65,15.625,119.875
1.7374084545712536E-5,66,15.375,119.875
2.2753756513146117E-5,67,15.125,119.875
2.0986507235387704E-5,68,14.875,119.875
1.960450228890077E-5,69,14.625,119.875
2.6164302536219857E-5,70,14.375,119.875
1.688096620398232E-5,71,14.125,119.875
2.0374976022034852E-5,72,13.875,119.875
2.1142903802640346E-5,73,13.625,119.875
9.4045886706847E-6,74,13.375,119.875
7.412552596309737E-6,75,13.125,119.875
7.73148089975309E-6,76,12.875,119.875
8.825168633146844E-6,77,12.625,119.875
,78,12.375,119.875
7.4798827322564E-6,79,12.125,119.875
8.296251549556697E-6,80,11.875,119.875
4.7177284853970844E-6,81,11.625,119.875
6.542188890883412E-6,82,11.375,119.875
,83,11.125,119.875
,84,10.875,119.875
,85,10.625,119.875
,86,10.375,119.875
,87,10.125,119.875
,88,9.875,119.875
,89,9.625,119.875
1.8520841761569254E-6,90,9.375,119.875
2.348942955514356E-6,91,9.125,119.875
6.216997207376701E-6,92,8.875,119.875
1.2709644297496907E-6,93,8.625,119.875
6.506180073155079E-6,94,8.375,119.875
4.099520535463774E-6,95,8.125,119.875
9.05907682682072E-6,96,7.875,119.875
4.817206515866033E-6,97,7.625,119.875
7.894560173622856E-6,98,7.375,119.875
8.645366999616816E-6,99,7.125,119.875
7.478569501429812E-6,100,6.875,119.875
1.0267382330303303E-5,101,6.625,119.875
9.603485632969803E-6,102,6.375,119.875
9.985910401708622E-6,103,6.125,119.875
9.137202006990488E-6,104,5.875,119.875
1.0359258205793888E-5,105,5.625,119.875
1.281945400356367E-5,106,5.375,119.875
4.097401010387763E-6,107,5.125,119.875
5.840621642791334E-6,108,4.875,119.875
1.020345972305754E-5,109,4.625,119.875
1.2417570726522669E-5,110,4.375,119.875
9.58412024522028E-6,111,4.125,119.875
1.1947079458435246E-5,112,3.875,119.875
1.0703656482919741E-5,113,3.625,119.875
1.0510827832982112E-5,114,3.375,119.875
9.356224869312158E-6,115,3.125,119.875
,116,2.875,119.875
-9.7509403067827E-7,117,2.625,119.875
1.6383961364059162E-6,118,2.375,119.875
1.2052960722256177E-5,119,2.125,119.875
1.5228730411437278E-5,120,1.875,119.875
2.158287222187035E-5,121,1.625,119.875
2.1664589493878327E-5,122,1.375,119.875
1.6180770765149053E-5,123,1.125,119.875
2.0897527798085385E-5,124,0.875,119.875
4.678852277704449E-6,125,0.625,119.875
,126,0.375,119.875
-6.467414764382614E-6,127,0.125,119.875
9.06060359849816E-6,128,-0.125,119.875
1.0432706010020851E-5,129,-0.375,119.875
1.9243770578098043E-5,130,-0.625,119.875
-6.892830946021223E-7,131,-0.875,119.875
,132,-1.125,119.875
,133,-1.375,119.875
,134,-1.625,119.875
,135,-1.875,119.875
6.293999663536487E-6,136,-2.125,119.875
2.4244950344614363E-6,137,-2.375,119.875
,138,-2.625,119.875
,139,-2.875,119.875
,140,-3.125,119.875
,141,-3.375,119.875
4.562915815868506E-6,142,-3.625,119.875
8.526618139756286E-6,143,-3.875,119.875
,144,-4.125,119.875
,145,-4.375,119.875
,146,-4.625,119.875
,147,-4.875,119.875
,148,-5.125,119.875
,149,-5.375,119.875
7.970126967070575E-6,150,-5.625,119.875
4.771566982225423E-6,151,-5.875,119.875
4.823510682926602E-6,152,-6.125,119.875
4.2353836400317325E-6,153,-6.375,119.875
8.999027495573494E-6,154,-6.625,119.875
9.095596129172547E-6,155,-6.875,119.875
7.836792796020287E-6,156,-7.125,119.875
1.0895633970282646E-5,157,-7.375,119.875
8.768377143921473E-6,158,-7.625,119.875
6.751450104583658E-6,159,-7.875,119.875
4.5541423438651376E-6,160,-8.125,119.875
7.907780480169721E-6,161,-8.375,119.875
1.042592239741978E-5,162,-8.625,119.875
9.345338763989387E-6,163,-8.875,119.875
8.945674481677107E-6,164,-9.125,119.875
1.2338361759509779E-5,165,-9.375,119.875
2.137576882523822E-5,166,-9.625,119.875
1.4476086053993272E-5,167,-9.875,119.875
1.1073183184480384E-5,168,-10.125,119.875
1.1190009715896403E-5,169,-10.375,119.875
1.0172862853441515E-5,170,-10.625,119.875
8.457938096188634E-6,171,-10.875,119.875
1.0450380671967911E-5,172,-11.125,119.875
7.595523794095343E-6,173,-11.375,119.875
7.213388570083987E-6,174,-11.625,119.875
9.219565181864728E-6,175,-11.875,119.875
,176,31.875,120.125
,177,31.625,120.125
,178,31.375,120.125
,179,31.125,120.125
,180,30.875,120.125
,181,30.625,120.125
,182,30.375,120.125
,183,30.125,120.125
,184,29.875,120.125
,185,29.625,120.125
1.2843950980659017E-4,186,29.375,120.125
7.200433171937152E-5,187,29.125,120.125
,188,28.875,120.125
,189,28.625,120.125
3.276696998931019E-5,190,28.375,120.125
3.820259367575482E-5,191,28.125,120.125
3.331265832429013E-5,192,27.875,120.125
2.7956455979380225E-5,193,27.625,120.125
3.707728213653786E-5,194,27.375,120.125
3.839330824902458E-5,195,27.125,120.125
4.075811121802635E-5,196,26.875,120.125
3.7920561646611275E-5,197,26.625,120.125
3.641231575159577E-5,198,26.375,120.125
3.330150703172239E-5,199,26.125,120.125
4.068942968871677E-5,200,25.875,120.125
3.7580080536238725E-5,201,25.625,120.125
4.266581510737999E-5,202,25.375,120.125
4.7085047902725454E-5,203,25.125,120.125
4.194415842512699E-5,204,24.875,120.125
4.102285554020348E-5,205,24.625,120.125
3.918059951925543E-5,206,24.375,120.125
4.0443225944627434E-5,207,24.125,120.125
3.382359900173652E-5,208,23.875,120.125
3.251909478680832E-5,209,23.625,120.125
3.3720211012536575E-5,210,23.375,120.125
3.1473167078453606E-5,211,23.125,120.125
2.577477061063711E-5,212,22.875,120.125
2.9310697787555265E-5,213,22.625,120.125
2.7765968534537662E-5,214,22.375,120.125
2.5362624743216214E-5,215,22.125,120.125
1.7903468048784254E-5,216,21.875,120.125
1.8826623004324042E-5,217,21.625,120.125
1.7349393939783727E-5,218,21.375,120.125
1.3359337470620834E-5,219,21.125,120.125
1.2858522894662825E-5,220,20.875,120.125
1.4570560996486059E-5,221,20.625,120.125
1.1889825767713996E-5,222,20.375,120.125
9.385542447159169E-6,223,20.125,120.125
1.2926907391738624E-5,224,19.875,120.125
1.189601169764093E-5,225,19.625,120.125
1.2177870508792051E-5,226,19.375,120.125
1.258930412652909E-5,227,19.125,120.125
9.528764515431726E-6,228,18.875,120.125
1.729512089263758E-5,229,18.625,120.125
1.6976954590720738E-5,230,18.375,120.125
1.4674218367419836E-5,231,18.125,120.125
1.4240016997856313E-5,232,17.875,120.125
1.5227157107713276E-5,233,17.625,120.125
1.3406368497455521E-5,234,17.375,120.125
1.1608417748001494E-5,235,17.125,120.125
1.2819206340740303E-5,236,16.875,120.125
1.3410605416439913E-5,237,16.625,120.125
1.6861056566801516E-5,238,16.375,120.125
3.583929656625653E-5,239,16.125,120.125
,240,15.875,120.125
,241,15.625,120.125
1.692918386293116E-5,242,15.375,120.125
2.2845040613458647E-5,243,15.125,120.125
2.666022933196423E-5,244,14.875,120.125
1.728228476152878E-5,245,14.625,120.125
2.9204865278400095E-5,246,14.375,120.125
1.9918616676399322E-5,247,14.125,120.125
1.9248368628209788E-5,248,13.875,120.125
1.0483065140149626E-5,249,13.625,120.125
8.780526016602469E-6,250,13.375,120.125
8.261262685148618E-6,251,13.125,120.125
8.4234612852672E-6,252,12.875,120.125
6.201671630221611E-6,253,12.625,120.125
-1.085809339925691E-5,254,12.375,120.125
,255,12.125,120.125
4.87890684102467E-6,256,11.875,120.125
6.1372165687318545E-6,257,11.625,120.125
6.3638635548945285E-6,258,11.375,120.125
,259,11.125,120.125
,260,10.875,120.125
,261,10.625,120.125
,262,10.375,120.125
4.546180010644164E-6,263,10.125,120.125
,264,9.875,120.125
,265,9.625,120.125
-9.512240560250942E-8,266,9.375,120.125
5.972953350310341E-6,267,9.125,120.125
6.799382965132983E-6,268,8.875,120.125
3.603220455131184E-6,269,8.625,120.125
6.397234312020108E-6,270,8.375,120.125
