system:index,lat,lon
0,31.875,119.875
1,31.625,119.875
2,31.375,119.875
3,31.125,119.875
4,30.875,119.875
5,30.625,119.875
6,30.375,119.875
7,30.125,119.875
8,29.875,119.875
9,29.625,119.875
10,29.375,119.875
11,29.125,119.875
12,28.875,119.875
13,28.625,119.875
14,28.375,119.875
15,28.125,119.875
16,27.875,119.875
17,27.625,119.875
18,27.375,119.875
19,27.125,119.875
20,26.875,119.875
21,26.625,119.875
22,26.375,119.875
23,26.125,119.875
24,25.875,119.875
25,25.625,119.875
26,25.375,119.875
27,25.125,119.875
28,24.875,119.875
29,24.625,119.875
30,24.375,119.875
31,24.125,119.875
32,23.875,119.875
33,23.625,119.875
34,23.375,119.875
35,23.125,119.875
36,22.875,119.875
37,22.625,119.875
38,22.375,119.875
39,22.125,119.875
40,21.875,119.875
41,21.625,119.875
42,21.375,119.875
43,21.125,119.875
44,20.875,119.875
45,20.625,119.875
46,20.375,119.875
47,20.125,119.875
48,19.875,119.875
49,19.625,119.875
50,19.375,119.875
51,19.125,119.875
52,18.875,119.875
53,18.625,119.875
54,18.375,119.875
55,18.125,119.875
56,17.875,119.875
57,17.625,119.875
58,17.375,119.875
59,17.125,119.875
60,16.875,119.875
61,16.625,119.875
62,16.375,119.875
63,16.125,119.875
64,15.875,119.875
65,15.625,119.875
66,15.375,119.875
67,15.125,119.875
68,14.875,119.875
69,14.625,119.875
70,14.375,119.875
71,14.125,119.875
72,13.875,119.875
73,13.625,119.875
74,13.375,119.875
75,13.125,119.875
76,12.875,119.875
77,12.625,119.875
78,12.375,119.875
79,12.125,119.875
80,11.875,119.875
81,11.625,119.875
82,11.375,119.875
83,11.125,119.875
84,10.875,119.875
85,10.625,119.875
86,10.375,119.875
87,10.125,119.875
88,9.875,119.875
89,9.625,119.875
90,9.375,119.875
91,9.125,119.875
92,8.875,119.875
93,8.625,119.875
94,8.375,119.875
95,8.125,119.875
96,7.875,119.875
97,7.625,119.875
98,7.375,119.875
99,7.125,119.875
100,6.875,119.875
101,6.625,119.875
102,6.375,119.875
103,6.125,119.875
104,5.875,119.875
105,5.625,119.875
106,5.375,119.875
107,5.125,119.875
108,4.875,119.875
109,4.625,119.875
110,4.375,119.875
111,4.125,119.875
112,3.875,119.875
113,3.625,119.875
114,3.375,119.875
115,3.125,119.875
116,2.875,119.875
117,2.625,119.875
118,2.375,119.875
119,2.125,119.875
120,1.875,119.875
121,1.625,119.875
122,1.375,119.875
123,1.125,119.875
124,0.875,119.875
125,0.625,119.875
126,0.375,119.875
127,0.125,119.875
128,-0.125,119.875
129,-0.375,119.875
130,-0.625,119.875
131,-0.875,119.875
132,-1.125,119.875
133,-1.375,119.875
134,-1.625,119.875
135,-1.875,119.875
136,-2.125,119.875
137,-2.375,119.875
138,-2.625,119.875
139,-2.875,119.875
140,-3.125,119.875
141,-3.375,119.875
142,-3.625,119.875
143,-3.875,119.875
144,-4.125,119.875
145,-4.375,119.875
146,-4.625,119.875
147,-4.875,119.875
148,-5.125,119.875
149,-5.375,119.875
150,-5.625,119.875
151,-5.875,119.875
152,-6.125,119.875
153,-6.375,119.875
154,-6.625,119.875
155,-6.875,119.875
156,-7.125,119.875
157,-7.375,119.875
158,-7.625,119.875
159,-7.875,119.875
160,-8.125,119.875
161,-8.375,119.875
162,-8.625,119.875
163,-8.875,119.875
164,-9.125,119.875
165,-9.375,119.875
166,-9.625,119.875
167,-9.875,119.875
168,-10.125,119.875
169,-10.375,119.875
170,-10.625,119.875
171,-10.875,119.875
172,-11.125,119.875
173,-11.375,119.875
174,-11.625,119.875
175,-11.875,119.875
176,31.875,120.125
177,31.625,120.125
178,31.375,120.125
179,31.125,120.125
180,30.875,120.125
181,30.625,120.125
182,30.375,120.125
183,30.125,120.125
184,29.875,120.125
185,29.625,120.125
186,29.375,120.125
187,29.125,120.125
188,28.875,120.125
189,28.625,120.125
190,28.375,120.125
191,28.125,120.125
192,27.875,120.125
193,27.625,120.125
194,27.375,120.125
195,27.125,120.125
196,26.875,120.125
197,26.625,120.125
198,26.375,120.125
199,26.125,120.125
200,25.875,120.125
201,25.625,120.125
202,25.375,120.125
203,25.125,120.125
204,24.875,120.125
205,24.625,120.125
206,24.375,120.125
207,24.125,120.125
208,23.875,120.125
209,23.625,120.125
210,23.375,120.125
211,23.125,120.125
212,22.875,120.125
213,22.625,120.125
214,22.375,120.125
215,22.125,120.125
216,21.875,120.125
217,21.625,120.125
218,21.375,120.125
219,21.125,120.125
220,20.875,120.125
221,20.625,120.125
222,20.375,120.125
223,20.125,120.125
224,19.875,120.125
225,19.625,120.125
226,19.375,120.125
227,19.125,120.125
228,18.875,120.125
229,18.625,120.125
230,18.375,120.125
231,18.125,120.125
232,17.875,120.125
233,17.625,120.125
234,17.375,120.125
235,17.125,120.125
236,16.875,120.125
237,16.625,120.125
238,16.375,120.125
239,16.125,120.125
240,15.875,120.125
241,15.625,120.125
242,15.375,120.125
243,15.125,120.125
244,14.875,120.125
245,14.625,120.125
246,14.375,120.125
247,14.125,120.125
248,13.875,120.125
249,13.625,120.125
250,13.375,120.125
251,13.125,120.125
252,12.875,120.125
253,12.625,120.125
254,12.375,120.125
255,12.125,120.125
256,11.875,120.125
257,11.625,120.125
258,11.375,120.125
259,11.125,120.125
260,10.875,120.125
261,10.625,120.125
262,10.375,120.125
263,10.125,120.125
264,9.875,120.125
265,9.625,120.125
266,9.375,120.125
267,9.125,120.125
268,8.875,120.125
269,8.625,120.125
270,8.375,120.125
271,8.125,120.125
272,7.875,120.125
273,7.625,120.125
274,7.375,120.125
275,7.125,120.125
276,6.875,120.125
277,6.625,120.125
278,6.375,120.125
279,6.125,120.125
280,5.875,120.125
281,5.625,120.125
282,5.375,120.125
283,5.125,120.125
284,4.875,120.125
285,4.625,120.125
286,4.375,120.125
287,4.125,120.125
288,3.875,120.125
289,3.625,120.125
290,3.375,120.125
291,3.125,120.125
292,2.875,120.125
293,2.625,120.125
294,2.375,120.125
295,2.125,120.125
296,1.875,120.125
297,1.625,120.125
298,1.375,120.125
299,1.125,120.125
300,0.875,120.125
301,0.625,120.125
302,0.375,120.125
303,0.125,120.125
304,-0.125,120.125
305,-0.375,120.125
306,-0.625,120.125
307,-0.875,120.125
308,-1.125,120.125
309,-1.375,120.125
310,-1.625,120.125
311,-1.875,120.125
312,-2.125,120.125
313,-2.375,120.125
314,-2.625,120.125
315,-2.875,120.125
316,-3.125,120.125
317,-3.375,120.125
318,-3.625,120.125
319,-3.875,120.125
320,-4.125,120.125
321,-4.375,120.125
322,-4.625,120.125
323,-4.875,120.125
324,-5.125,120.125
325,-5.375,120.125
326,-5.625,120.125
327,-5.875,120.125
328,-6.125,120.125
329,-6.375,120.125
330,-6.625,120.125
331,-6.875,120.125
332,-7.125,120.125
333,-7.375,120.125
334,-7.625,120.125
335,-7.875,120.125
336,-8.125,120.125
337,-8.375,120.125
338,-8.625,120.125
339,-8.875,120.125
340,-9.125,120.125
341,-9.375,120.125
342,-9.625,120.125
343,-9.875,120.125
344,-10.125,120.125
345,-10.375,120.125
346,-10.625,120.125
347,-10.875,120.125
348,-11.125,120.125
349,-11.375,120.125
350,-11.625,120.125
351,-11.875,120.125
352,31.875,120.375
353,31.625,120.375
354,31.375,120.375
355,31.125,120.375
356,30.875,120.375
357,30.625,120.375
358,30.375,120.375
359,30.125,120.375
360,29.875,120.375
361,29.625,120.375
362,29.375,120.375
363,29.125,120.375
364,28.875,120.375
365,28.625,120.375
366,28.375,120.375
367,28.125,120.375
368,27.875,120.375
369,27.625,120.375
370,27.375,120.375
371,27.125,120.375
372,26.875,120.375
373,26.625,120.375
374,26.375,120.375
375,26.125,120.375
376,25.875,120.375
377,25.625,120.375
378,25.375,120.375
379,25.125,120.375
380,24.875,120.375
381,24.625,120.375
382,24.375,120.375
383,24.125,120.375
384,23.875,120.375
385,23.625,120.375
386,23.375,120.375
387,23.125,120.375
388,22.875,120.375
389,22.625,120.375
390,22.375,120.375
391,22.125,120.375
392,21.875,120.375
393,21.625,120.375
394,21.375,120.375
395,21.125,120.375
396,20.875,120.375
397,20.625,120.375
398,20.375,120.375
399,20.125,120.375
400,19.875,120.375
401,19.625,120.375
402,19.375,120.375
403,19.125,120.375
404,18.875,120.375
405,18.625,120.375
406,18.375,120.375
407,18.125,120.375
408,17.875,120.375
409,17.625,120.375
410,17.375,120.375
411,17.125,120.375
412,16.875,120.375
413,16.625,120.375
414,16.375,120.375
415,16.125,120.375
416,15.875,120.375
417,15.625,120.375
418,15.375,120.375
419,15.125,120.375
420,14.875,120.375
421,14.625,120.375
422,14.375,120.375
423,14.125,120.375
424,13.875,120.375
425,13.625,120.375
426,13.375,120.375
427,13.125,120.375
428,12.875,120.375
429,12.625,120.375
430,12.375,120.375
431,12.125,120.375
432,11.875,120.375
433,11.625,120.375
434,11.375,120.375
435,11.125,120.375
436,10.875,120.375
437,10.625,120.375
438,10.375,120.375
439,10.125,120.375
440,9.875,120.375
441,9.625,120.375
442,9.375,120.375
443,9.125,120.375
444,8.875,120.375
445,8.625,120.375
446,8.375,120.375
447,8.125,120.375
448,7.875,120.375
449,7.625,120.375
450,7.375,120.375
451,7.125,120.375
452,6.875,120.375
453,6.625,120.375
454,6.375,120.375
455,6.125,120.375
456,5.875,120.375
457,5.625,120.375
458,5.375,120.375
459,5.125,120.375
460,4.875,120.375
461,4.625,120.375
462,4.375,120.375
463,4.125,120.375
464,3.875,120.375
465,3.625,120.375
466,3.375,120.375
467,3.125,120.375
468,2.875,120.375
469,2.625,120.375
470,2.375,120.375
471,2.125,120.375
472,1.875,120.375
473,1.625,120.375
474,1.375,120.375
475,1.125,120.375
476,0.875,120.375
477,0.625,120.375
478,0.375,120.375
479,0.125,120.375
480,-0.125,120.375
481,-0.375,120.375
482,-0.625,120.375
483,-0.875,120.375
484,-1.125,120.375
485,-1.375,120.375
486,-1.625,120.375
487,-1.875,120.375
488,-2.125,120.375
489,-2.375,120.375
490,-2.625,120.375
491,-2.875,120.375
492,-3.125,120.375
493,-3.375,120.375
494,-3.625,120.375
495,-3.875,120.375
496,-4.125,120.375
497,-4.375,120.375
498,-4.625,120.375
499,-4.875,120.375
500,-5.125,120.375
501,-5.375,120.375
502,-5.625,120.375
503,-5.875,120.375
504,-6.125,120.375
505,-6.375,120.375
506,-6.625,120.375
507,-6.875,120.375
508,-7.125,120.375
509,-7.375,120.375
510,-7.625,120.375
511,-7.875,120.375
512,-8.125,120.375
513,-8.375,120.375
514,-8.625,120.375
515,-8.875,120.375
516,-9.125,120.375
517,-9.375,120.375
518,-9.625,120.375
519,-9.875,120.375
520,-10.125,120.375
521,-10.375,120.375
522,-10.625,120.375
523,-10.875,120.375
524,-11.125,120.375
525,-11.375,120.375
526,-11.625,120.375
527,-11.875,120.375
528,31.875,120.625
529,31.625,120.625
530,31.375,120.625
531,31.125,120.625
532,30.875,120.625
533,30.625,120.625
534,30.375,120.625
535,30.125,120.625
536,29.875,120.625
537,29.625,120.625
538,29.375,120.625
539,29.125,120.625
540,28.875,120.625
541,28.625,120.625
542,28.375,120.625
543,28.125,120.625
544,27.875,120.625
545,27.625,120.625
546,27.375,120.625
547,27.125,120.625
548,26.875,120.625
549,26.625,120.625
550,26.375,120.625
551,26.125,120.625
552,25.875,120.625
553,25.625,120.625
554,25.375,120.625
555,25.125,120.625
556,24.875,120.625
557,24.625,120.625
558,24.375,120.625
559,24.125,120.625
560,23.875,120.625
561,23.625,120.625
562,23.375,120.625
563,23.125,120.625
564,22.875,120.625
565,22.625,120.625
566,22.375,120.625
567,22.125,120.625
568,21.875,120.625
569,21.625,120.625
570,21.375,120.625
571,21.125,120.625
572,20.875,120.625
573,20.625,120.625
574,20.375,120.625
575,20.125,120.625
576,19.875,120.625
577,19.625,120.625
578,19.375,120.625
579,19.125,120.625
580,18.875,120.625
581,18.625,120.625
582,18.375,120.625
583,18.125,120.625
584,17.875,120.625
585,17.625,120.625
586,17.375,120.625
587,17.125,120.625
588,16.875,120.625
589,16.625,120.625
590,16.375,120.625
