first,system:index,lat,lon
9.935843710540446E-5,0,31.875,119.875
9.08093015789096E-5,1,31.625,119.875
1.2503531993935196E-4,2,31.375,119.875
1.3576225223411016E-4,3,31.125,119.875
9.273354828575352E-5,4,30.875,119.875
6.6236204880693E-5,5,30.625,119.875
9.61045886688903E-5,6,30.375,119.875
7.705296659807362E-5,7,30.125,119.875
6.340278622736563E-5,8,29.875,119.875
4.786454332390822E-5,9,29.625,119.875
6.333586168723817E-5,10,29.375,119.875
7.074689377171966E-5,11,29.125,119.875
6.30886929010602E-5,12,28.875,119.875
3.900842243629063E-5,13,28.625,119.875
3.10251091891092E-5,14,28.375,119.875
2.8840609090837325E-5,15,28.125,119.875
2.845027901996961E-5,16,27.875,119.875
3.338846117102491E-5,17,27.625,119.875
3.1192008818076825E-5,18,27.375,119.875
3.975494562704628E-5,19,27.125,119.875
8.347734791960453E-5,20,26.875,119.875
7.774049566042721E-5,21,26.625,119.875
7.972057034233818E-5,22,26.375,119.875
5.5254261733357653E-5,23,26.125,119.875
4.650856707020804E-5,24,25.875,119.875
4.090484842755324E-5,25,25.625,119.875
4.425421228665907E-5,26,25.375,119.875
4.9190931830053415E-5,27,25.125,119.875
5.224026376785167E-5,28,24.875,119.875
4.278127250892365E-5,29,24.625,119.875
3.779041288327909E-5,30,24.375,119.875
3.722285031616021E-5,31,24.125,119.875
3.878431665678239E-5,32,23.875,119.875
4.288242041979058E-5,33,23.625,119.875
4.448252019852779E-5,34,23.375,119.875
4.1928688988008914E-5,35,23.125,119.875
3.9327701185349344E-5,36,22.875,119.875
3.657687117967681E-5,37,22.625,119.875
3.438934901835269E-5,38,22.375,119.875
3.0201801356120422E-5,39,22.125,119.875
2.9045954433532808E-5,40,21.875,119.875
2.31248745561499E-5,41,21.625,119.875
2.088279961815384E-5,42,21.375,119.875
1.994757965984133E-5,43,21.125,119.875
2.036144302645835E-5,44,20.875,119.875
2.081356222250633E-5,45,20.625,119.875
2.0741530582167337E-5,46,20.375,119.875
1.9468889929495327E-5,47,20.125,119.875
1.6604199115126682E-5,48,19.875,119.875
1.5686226259032803E-5,49,19.625,119.875
1.6112968926554852E-5,50,19.375,119.875
1.4311834346635928E-5,51,19.125,119.875
1.363506782617227E-5,52,18.875,119.875
1.3654215765034715E-5,53,18.625,119.875
1.3590230354440487E-5,54,18.375,119.875
1.3874359294386662E-5,55,18.125,119.875
1.4920101359145718E-5,56,17.875,119.875
1.4294870659308756E-5,57,17.625,119.875
1.5272858040942106E-5,58,17.375,119.875
1.576777723172875E-5,59,17.125,119.875
1.7191071604452055E-5,60,16.875,119.875
1.766715147487152E-5,61,16.625,119.875
2.3166764376226504E-5,62,16.375,119.875
2.0532027774682235E-5,63,16.125,119.875
1.796981863860726E-5,64,15.875,119.875
2.1151209964491592E-5,65,15.625,119.875
1.9004724284302E-5,66,15.375,119.875
1.8340434082514915E-5,67,15.125,119.875
1.8795973753743222E-5,68,14.875,119.875
1.8301894324894644E-5,69,14.625,119.875
1.964369630405002E-5,70,14.375,119.875
2.0851760782125324E-5,71,14.125,119.875
1.756813347121554E-5,72,13.875,119.875
1.5344248836894633E-5,73,13.625,119.875
1.4094624086513488E-5,74,13.375,119.875
1.2676250589876852E-5,75,13.125,119.875
1.1438558347625995E-5,76,12.875,119.875
1.0725240545453451E-5,77,12.625,119.875
1.1619486858834342E-5,78,12.375,119.875
1.0449439368250644E-5,79,12.125,119.875
1.0420677394503675E-5,80,11.875,119.875
8.657487694489936E-6,81,11.625,119.875
8.557328302306703E-6,82,11.375,119.875
9.275888984949016E-6,83,11.125,119.875
9.432643201448266E-6,84,10.875,119.875
9.573448623110401E-6,85,10.625,119.875
7.144000384866306E-6,86,10.375,119.875
9.094948680245168E-6,87,10.125,119.875
8.909995157655045E-6,88,9.875,119.875
7.933514982048657E-6,89,9.625,119.875
8.161701433522643E-6,90,9.375,119.875
9.250089625082078E-6,91,9.125,119.875
8.842012787520826E-6,92,8.875,119.875
8.412080554676026E-6,93,8.625,119.875
9.115787271495077E-6,94,8.375,119.875
8.426276704790981E-6,95,8.125,119.875
7.905276670603257E-6,96,7.875,119.875
8.214169474681347E-6,97,7.625,119.875
7.900337346962336E-6,98,7.375,119.875
8.15381333326585E-6,99,7.125,119.875
9.073816075502657E-6,100,6.875,119.875
7.76970393186928E-6,101,6.625,119.875
9.281930912563867E-6,102,6.375,119.875
9.267425359074328E-6,103,6.125,119.875
9.14921550888549E-6,104,5.875,119.875
9.220726197003383E-6,105,5.625,119.875
8.539925381410477E-6,106,5.375,119.875
9.092500330179226E-6,107,5.125,119.875
7.3481193563297E-6,108,4.875,119.875
6.920521697363141E-6,109,4.625,119.875
6.593544119824745E-6,110,4.375,119.875
6.086524203107864E-6,111,4.125,119.875
6.609162109475866E-6,112,3.875,119.875
6.625112475438935E-6,113,3.625,119.875
6.257607432575586E-6,114,3.375,119.875
6.1268904791645815E-6,115,3.125,119.875
6.1558174325595975E-6,116,2.875,119.875
5.864449503047561E-6,117,2.625,119.875
5.652918853358992E-6,118,2.375,119.875
6.093022302817306E-6,119,2.125,119.875
6.2756581379633695E-6,120,1.875,119.875
7.103792159871609E-6,121,1.625,119.875
6.830033787297122E-6,122,1.375,119.875
7.00755506612062E-6,123,1.125,119.875
6.312188260737412E-6,124,0.875,119.875
7.701633032724477E-6,125,0.625,119.875
7.227887665988153E-6,126,0.375,119.875
6.349259279403186E-6,127,0.125,119.875
5.57957477703542E-6,128,-0.125,119.875
5.994709350217951E-6,129,-0.375,119.875
6.5626246586450875E-6,130,-0.625,119.875
9.40737814029996E-6,131,-0.875,119.875
4.627771400276598E-6,132,-1.125,119.875
5.804497088985893E-6,133,-1.375,119.875
5.6002970913586195E-6,134,-1.625,119.875
5.163599324042464E-6,135,-1.875,119.875
5.760836621202154E-6,136,-2.125,119.875
7.099146838164112E-6,137,-2.375,119.875
7.526424978544757E-6,138,-2.625,119.875
4.17905175574871E-6,139,-2.875,119.875
7.921435522073364E-6,140,-3.125,119.875
6.202217551494482E-6,141,-3.375,119.875
7.289811042687573E-6,142,-3.625,119.875
9.317373165420569E-6,143,-3.875,119.875
9.859239164020594E-6,144,-4.125,119.875
7.994384496610862E-6,145,-4.375,119.875
8.444926563930202E-6,146,-4.625,119.875
9.64501406726465E-6,147,-4.875,119.875
1.0979816931596503E-5,148,-5.125,119.875
4.929602467484811E-6,149,-5.375,119.875
1.280170228457991E-5,150,-5.625,119.875
9.564467533480762E-6,151,-5.875,119.875
8.793137567571003E-6,152,-6.125,119.875
8.140203520388908E-6,153,-6.375,119.875
7.901058145384393E-6,154,-6.625,119.875
7.882507296190215E-6,155,-6.875,119.875
7.78081235364895E-6,156,-7.125,119.875
8.156915670062929E-6,157,-7.375,119.875
7.816809585412502E-6,158,-7.625,119.875
7.882484279166063E-6,159,-7.875,119.875
8.397005620374543E-6,160,-8.125,119.875
9.353463009251558E-6,161,-8.375,119.875
1.0468122550084921E-5,162,-8.625,119.875
8.174221477323206E-6,163,-8.875,119.875
9.268718984829257E-6,164,-9.125,119.875
9.56908339807952E-6,165,-9.375,119.875
6.4785789368162305E-6,166,-9.625,119.875
6.811373283718612E-6,167,-9.875,119.875
8.431538812868366E-6,168,-10.125,119.875
7.97982842890982E-6,169,-10.375,119.875
6.636202626627446E-6,170,-10.625,119.875
7.317625986742303E-6,171,-10.875,119.875
7.010952383861118E-6,172,-11.125,119.875
7.944532301789212E-6,173,-11.375,119.875
7.77864876042227E-6,174,-11.625,119.875
7.694457968288034E-6,175,-11.875,119.875
1.1265970290602023E-4,176,31.875,120.125
9.584357465670593E-5,177,31.625,120.125
1.9592993814172632E-4,178,31.375,120.125
1.6705268667377944E-4,179,31.125,120.125
1.0081963468936619E-4,180,30.875,120.125
1.1279885216912261E-4,181,30.625,120.125
1.1238689073053935E-4,182,30.375,120.125
8.574708233160378E-5,183,30.125,120.125
4.957986465278893E-5,184,29.875,120.125
6.33297868841068E-5,185,29.625,120.125
8.844093544092755E-5,186,29.375,120.125
6.31406511329553E-5,187,29.125,120.125
6.651786404412816E-5,188,28.875,120.125
4.094754450111965E-5,189,28.625,120.125
3.3163307491730545E-5,190,28.375,120.125
2.843337380850841E-5,191,28.125,120.125
3.552662674309802E-5,192,27.875,120.125
3.3750145389474515E-5,193,27.625,120.125
3.758582226645555E-5,194,27.375,120.125
3.660240329650221E-5,195,27.125,120.125
6.116222005912859E-5,196,26.875,120.125
6.68567771052178E-5,197,26.625,120.125
5.171367681362689E-5,198,26.375,120.125
4.861567569438322E-5,199,26.125,120.125
5.0387415391813764E-5,200,25.875,120.125
4.915204855011881E-5,201,25.625,120.125
4.7396102700130496E-5,202,25.375,120.125
4.960248110551886E-5,203,25.125,120.125
5.1268895750467145E-5,204,24.875,120.125
4.7253577727741673E-5,205,24.625,120.125
4.780916219022392E-5,206,24.375,120.125
4.61089285967912E-5,207,24.125,120.125
5.809834264955862E-5,208,23.875,120.125
6.706301722247456E-5,209,23.625,120.125
5.904054143480819E-5,210,23.375,120.125
5.890719572208589E-5,211,23.125,120.125
5.569626576399893E-5,212,22.875,120.125
4.86530356645917E-5,213,22.625,120.125
3.867019764620193E-5,214,22.375,120.125
3.5950721524126815E-5,215,22.125,120.125
3.1769488356986625E-5,216,21.875,120.125
2.2533331017829923E-5,217,21.625,120.125
2.1381729738877125E-5,218,21.375,120.125
2.1375617856647865E-5,219,21.125,120.125
2.003481504611369E-5,220,20.875,120.125
2.0411582994180182E-5,221,20.625,120.125
1.87883023668382E-5,222,20.375,120.125
1.8868132823145575E-5,223,20.125,120.125
1.815859367909504E-5,224,19.875,120.125
1.7332416844147174E-5,225,19.625,120.125
1.5541853268864465E-5,226,19.375,120.125
1.4395912015529505E-5,227,19.125,120.125
1.4427289590484951E-5,228,18.875,120.125
1.3581509962474917E-5,229,18.625,120.125
1.4787437634449793E-5,230,18.375,120.125
1.4854430039404044E-5,231,18.125,120.125
1.5241788674132038E-5,232,17.875,120.125
1.548223784048362E-5,233,17.625,120.125
1.5379069656948808E-5,234,17.375,120.125
1.6107728637691602E-5,235,17.125,120.125
1.72886158974745E-5,236,16.875,120.125
1.897888590466341E-5,237,16.625,120.125
2.3403200175687427E-5,238,16.375,120.125
2.793408772788515E-5,239,16.125,120.125
1.767388689410317E-5,240,15.875,120.125
2.4197258225298453E-5,241,15.625,120.125
2.1784685519257625E-5,242,15.375,120.125
2.044475986385096E-5,243,15.125,120.125
1.9474630567639093E-5,244,14.875,120.125
2.0172177123503262E-5,245,14.625,120.125
2.356036072838384E-5,246,14.375,120.125
2.2731000456857313E-5,247,14.125,120.125
1.9301179795419073E-5,248,13.875,120.125
1.5533129032792167E-5,249,13.625,120.125
1.536193486168229E-5,250,13.375,120.125
1.3487719896807624E-5,251,13.125,120.125
1.3102255953422947E-5,252,12.875,120.125
1.085173747359973E-5,253,12.625,120.125
1.1414125425499601E-5,254,12.375,120.125
9.813116305553385E-6,255,12.125,120.125
8.337318125442632E-6,256,11.875,120.125
9.200118326996378E-6,257,11.625,120.125
9.346118002520681E-6,258,11.375,120.125
9.56520254585486E-6,259,11.125,120.125
9.370305784516042E-6,260,10.875,120.125
9.595230938088748E-6,261,10.625,120.125
8.666086874224299E-6,262,10.375,120.125
9.024578792645338E-6,263,10.125,120.125
9.228266248043148E-6,264,9.875,120.125
8.842774805684072E-6,265,9.625,120.125
8.387971296904015E-6,266,9.375,120.125
9.0116041754189E-6,267,9.125,120.125
8.096481312821012E-6,268,8.875,120.125
8.681362978439263E-6,269,8.625,120.125
8.95853133630325E-6,270,8.375,120.125
9.04581251200338E-6,271,8.125,120.125
9.75730657746802E-6,272,7.875,120.125
9.0244842357869E-6,273,7.625,120.125
8.533263847532792E-6,274,7.375,120.125
8.858785956007684E-6,275,7.125,120.125
8.929959353842439E-6,276,6.875,120.125
7.764666142661664E-6,277,6.625,120.125
8.539986929016158E-6,278,6.375,120.125
8.160395912601904E-6,279,6.125,120.125
8.596393597237012E-6,280,5.875,120.125
9.142938468928525E-6,281,5.625,120.125
8.936136998113102E-6,282,5.375,120.125
7.514591097581145E-6,283,5.125,120.125
6.1770685856588015E-6,284,4.875,120.125
6.6043862186518855E-6,285,4.625,120.125
6.075176803106415E-6,286,4.375,120.125
6.936205183343891E-6,287,4.125,120.125
6.228641883330634E-6,288,3.875,120.125
6.64118121993446E-6,289,3.625,120.125
6.1461654992570635E-6,290,3.375,120.125
6.020426860335224E-6,291,3.125,120.125
5.990656383485061E-6,292,2.875,120.125
5.310267945796595E-6,293,2.625,120.125
6.86265743310763E-6,294,2.375,120.125
7.32474030310101E-6,295,2.125,120.125
5.790851923550837E-6,296,1.875,120.125
7.104673419577276E-6,297,1.625,120.125
7.747379781004085E-6,298,1.375,120.125
6.345982609621122E-6,299,1.125,120.125
6.758948064156123E-6,300,0.875,120.125
7.180033125383954E-6,301,0.625,120.125
5.929977539033887E-6,302,0.375,120.125
5.586889392667727E-6,303,0.125,120.125
5.340797890718139E-6,304,-0.125,120.125
5.861757187609948E-6,305,-0.375,120.125
4.905385062729702E-6,306,-0.625,120.125
7.192283800548612E-6,307,-0.875,120.125
7.205474235178277E-6,308,-1.125,120.125
6.9649941424550205E-6,309,-1.375,120.125
6.115760037140967E-6,310,-1.625,120.125
6.772728438383702E-6,311,-1.875,120.125
4.885786024437102E-6,312,-2.125,120.125
5.8557292332135905E-6,313,-2.375,120.125
5.394333698676365E-6,314,-2.625,120.125
7.341614820341791E-6,315,-2.875,120.125
6.85129327820983E-6,316,-3.125,120.125
8.684846297890808E-6,317,-3.375,120.125
5.3059800172408025E-6,318,-3.625,120.125
9.727843168554742E-6,319,-3.875,120.125
1.0384112813009476E-5,320,-4.125,120.125
1.148535905067977E-5,321,-4.375,120.125
6.889507403209566E-6,322,-4.625,120.125
8.797188749314759E-6,323,-4.875,120.125
9.947414644023862E-6,324,-5.125,120.125
6.55338025520861E-6,325,-5.375,120.125
1.1234808098126708E-5,326,-5.625,120.125
1.0122115018162404E-5,327,-5.875,120.125
8.445498932804437E-6,328,-6.125,120.125
7.735976894281757E-6,329,-6.375,120.125
7.643453861945642E-6,330,-6.625,120.125
8.23358928061446E-6,331,-6.875,120.125
8.657392538990115E-6,332,-7.125,120.125
8.955258429132587E-6,333,-7.375,120.125
9.202751128124349E-6,334,-7.625,120.125
7.420728420210134E-6,335,-7.875,120.125
8.961984006778758E-6,336,-8.125,120.125
9.661721883951371E-6,337,-8.375,120.125
1.0438873254906546E-5,338,-8.625,120.125
