first,system:index,lat,lon
1.477659515198721E-5,0,31.875,83.875
1.599019494853584E-5,1,31.625,83.875
1.6630659958167283E-5,2,31.375,83.875
1.1805522804170674E-5,3,31.125,83.875
1.4187888802822433E-5,4,30.875,83.875
1.1933974235122912E-5,5,30.625,83.875
8.516236104582924E-6,6,30.375,83.875
1.192999716830895E-5,7,30.125,83.875
1.0314094730474309E-5,8,29.875,83.875
,9,29.625,83.875
1.0807054612409086E-5,10,29.375,83.875
1.293486274684932E-5,11,29.125,83.875
1.7482742915046945E-5,12,28.875,83.875
1.1053577478759277E-5,13,28.625,83.875
2.232165508566363E-5,14,28.375,83.875
2.3549843651371417E-5,15,28.125,83.875
3.1393002272096115E-5,16,27.875,83.875
3.0124279757312512E-5,17,27.625,83.875
4.305674132301582E-5,18,27.375,83.875
,19,27.125,83.875
,20,26.875,83.875
4.35233232754714E-5,21,26.625,83.875
3.402158787442343E-5,22,26.375,83.875
4.3682153618222614E-5,23,26.125,83.875
4.5366103752881936E-5,24,25.875,83.875
4.5249871562325586E-5,25,25.625,83.875
5.3785941676516557E-5,26,25.375,83.875
5.777542682346409E-5,27,25.125,83.875
4.3447651391627865E-5,28,24.875,83.875
3.75816491930487E-5,29,24.625,83.875
4.054239821943492E-5,30,24.375,83.875
4.060626172465047E-5,31,24.125,83.875
3.0520211311356135E-5,32,23.875,83.875
2.8423527454151304E-5,33,23.625,83.875
2.4625488104218938E-5,34,23.375,83.875
2.56411426121806E-5,35,23.125,83.875
2.4661255657601338E-5,36,22.875,83.875
4.249904683179861E-5,37,22.625,83.875
7.387386065982344E-5,38,22.375,83.875
8.558936915721095E-5,39,22.125,83.875
8.454593741802416E-5,40,21.875,83.875
4.284309051581707E-5,41,21.625,83.875
3.6123393287049486E-5,42,21.375,83.875
2.825770432614068E-5,43,21.125,83.875
,44,20.875,83.875
1.4103589192701922E-5,45,20.625,83.875
,46,20.375,83.875
1.8406497368988944E-5,47,20.125,83.875
,48,19.875,83.875
,49,19.625,83.875
1.0881234084968988E-5,50,19.375,83.875
2.089412244260111E-5,51,19.125,83.875
,52,18.875,83.875
,53,18.625,83.875
,54,18.375,83.875
5.197040405387832E-5,55,18.125,83.875
2.8372221926144398E-5,56,17.875,83.875
1.7103910642633124E-5,57,17.625,83.875
1.8453662249292366E-5,58,17.375,83.875
1.465109194382311E-5,59,17.125,83.875
1.5473463640336832E-5,60,16.875,83.875
1.168461388247051E-5,61,16.625,83.875
1.1240165694188936E-5,62,16.375,83.875
1.252444236025875E-5,63,16.125,83.875
9.14148792605828E-6,64,15.875,83.875
1.0422795873332388E-5,65,15.625,83.875
1.1218142496419366E-5,66,15.375,83.875
8.369752957749806E-6,67,15.125,83.875
1.1151069245506263E-5,68,14.875,83.875
7.084225994400216E-6,69,14.625,83.875
7.38070969998231E-6,70,14.375,83.875
7.66093892448027E-6,71,14.125,83.875
7.048281102428383E-6,72,13.875,83.875
5.390197774419195E-6,73,13.625,83.875
8.464113912699213E-6,74,13.375,83.875
1.1850563518727192E-5,75,13.125,83.875
1.1197973910348345E-5,76,12.875,83.875
9.342619144781568E-6,77,12.625,83.875
1.1936329460476733E-5,78,12.375,83.875
1.162662077607933E-5,79,12.125,83.875
