first,system:index,lat,lon
8.81327400719111E-5,0,31.875,119.875
9.718016773796921E-5,1,31.625,119.875
8.335654615447332E-5,2,31.375,119.875
7.100553882973456E-5,3,31.125,119.875
6.174527704294232E-5,4,30.875,119.875
4.657812636837022E-5,5,30.625,119.875
5.4371376926198876E-5,6,30.375,119.875
4.938440601356181E-5,7,30.125,119.875
4.8902928981459745E-5,8,29.875,119.875
2.757482867822018E-5,9,29.625,119.875
4.014518795496757E-5,10,29.375,119.875
4.31335209665288E-5,11,29.125,119.875
2.6017942499906725E-5,12,28.875,119.875
2.4774190739898855E-5,13,28.625,119.875
3.0336812226036187E-5,14,28.375,119.875
2.116180853928385E-5,15,28.125,119.875
1.7357959390560146E-5,16,27.875,119.875
1.901777269965422E-5,17,27.625,119.875
2.0445452916402074E-5,18,27.375,119.875
2.3664989002924996E-5,19,27.125,119.875
5.5736122662250165E-5,20,26.875,119.875
4.409712459626889E-5,21,26.625,119.875
3.78596037144812E-5,22,26.375,119.875
3.5217189172800185E-5,23,26.125,119.875
2.9909050839057E-5,24,25.875,119.875
2.5769834114809988E-5,25,25.625,119.875
3.0587906515714264E-5,26,25.375,119.875
3.0590916011018695E-5,27,25.125,119.875
3.0428619484006614E-5,28,24.875,119.875
2.484379628512227E-5,29,24.625,119.875
2.1119242527795737E-5,30,24.375,119.875
1.9938388771599435E-5,31,24.125,119.875
2.1069087224822008E-5,32,23.875,119.875
2.0254401496297336E-5,33,23.625,119.875
2.0921955166812206E-5,34,23.375,119.875
1.7811473511094222E-5,35,23.125,119.875
2.0413785283548592E-5,36,22.875,119.875
2.010106701717862E-5,37,22.625,119.875
1.730908858011693E-5,38,22.375,119.875
1.3495535699580514E-5,39,22.125,119.875
1.2723808588072553E-5,40,21.875,119.875
1.1737885678631194E-5,41,21.625,119.875
1.1012629391677101E-5,42,21.375,119.875
1.0887952586151987E-5,43,21.125,119.875
1.153765316604416E-5,44,20.875,119.875
1.2039488602008333E-5,45,20.625,119.875
1.2883796301083935E-5,46,20.375,119.875
1.2588948418842843E-5,47,20.125,119.875
1.1018633319571245E-5,48,19.875,119.875
1.2199164623449122E-5,49,19.625,119.875
1.0228640468095472E-5,50,19.375,119.875
1.2791939975647745E-5,51,19.125,119.875
1.0245416004707606E-5,52,18.875,119.875
1.2219296354372004E-5,53,18.625,119.875
1.2558749606775619E-5,54,18.375,119.875
1.4685448863899111E-5,55,18.125,119.875
1.367540647283899E-5,56,17.875,119.875
1.3769748720051725E-5,57,17.625,119.875
1.5081451801442528E-5,58,17.375,119.875
1.7731520584319295E-5,59,17.125,119.875
1.9297335831577698E-5,60,16.875,119.875
2.0651767081261574E-5,61,16.625,119.875
2.2506763787059533E-5,62,16.375,119.875
1.716723402451878E-5,63,16.125,119.875
1.8541182301547333E-5,64,15.875,119.875
2.3045278565618906E-5,65,15.625,119.875
2.1992992556760786E-5,66,15.375,119.875
2.1498694260044954E-5,67,15.125,119.875
2.127817241833205E-5,68,14.875,119.875
1.7046335065880822E-5,69,14.625,119.875
1.679504235643656E-5,70,14.375,119.875
1.6911398172763506E-5,71,14.125,119.875
1.3652324543328578E-5,72,13.875,119.875
1.0888910263792695E-5,73,13.625,119.875
1.1189402591635472E-5,74,13.375,119.875
1.0395038307192875E-5,75,13.125,119.875
8.521945971059217E-6,76,12.875,119.875
9.022387474594449E-6,77,12.625,119.875
8.818238823642453E-6,78,12.375,119.875
5.624105261576292E-6,79,12.125,119.875
7.254753593435559E-6,80,11.875,119.875
8.561997378758769E-6,81,11.625,119.875
7.438287537240149E-6,82,11.375,119.875
7.765708944091611E-6,83,11.125,119.875
9.006062834911116E-6,84,10.875,119.875
6.015686129484487E-6,85,10.625,119.875
6.897100786176868E-6,86,10.375,119.875
7.784275891917719E-6,87,10.125,119.875
8.799359182207834E-6,88,9.875,119.875
8.000983227572315E-6,89,9.625,119.875
7.289254491071004E-6,90,9.375,119.875
7.590431496567599E-6,91,9.125,119.875
7.587555702137719E-6,92,8.875,119.875
7.2013181750442926E-6,93,8.625,119.875
7.467290085216699E-6,94,8.375,119.875
8.206873473289235E-6,95,8.125,119.875
8.597841448901482E-6,96,7.875,119.875
7.740571104040986E-6,97,7.625,119.875
8.441879961987572E-6,98,7.375,119.875
8.339275344282455E-6,99,7.125,119.875
7.786423330058353E-6,100,6.875,119.875
7.894675713840168E-6,101,6.625,119.875
8.546441422836813E-6,102,6.375,119.875
9.181290028735231E-6,103,6.125,119.875
9.91584336921775E-6,104,5.875,119.875
1.0732702756630265E-5,105,5.625,119.875
9.047458055720107E-6,106,5.375,119.875
9.448226652448601E-6,107,5.125,119.875
7.383559565716574E-6,108,4.875,119.875
7.877667735716979E-6,109,4.625,119.875
7.575853784472276E-6,110,4.375,119.875
7.751194430255317E-6,111,4.125,119.875
7.521986882615654E-6,112,3.875,119.875
8.786862406060055E-6,113,3.625,119.875
8.22514295038876E-6,114,3.375,119.875
8.205107114197627E-6,115,3.125,119.875
8.35496506401591E-6,116,2.875,119.875
8.803492358630813E-6,117,2.625,119.875
7.600729051038715E-6,118,2.375,119.875
8.137218791124678E-6,119,2.125,119.875
8.356270956097793E-6,120,1.875,119.875
9.079262539969881E-6,121,1.625,119.875
8.38915940434182E-6,122,1.375,119.875
8.188432627685536E-6,123,1.125,119.875
7.426572131140083E-6,124,0.875,119.875
6.6578876544574975E-6,125,0.625,119.875
8.004002413491456E-6,126,0.375,119.875
5.797555460827431E-6,127,0.125,119.875
7.843368970998138E-6,128,-0.125,119.875
8.313169537101665E-6,129,-0.375,119.875
8.049846309241939E-6,130,-0.625,119.875
7.909050095917244E-6,131,-0.875,119.875
6.752167470753065E-6,132,-1.125,119.875
9.042498890802914E-6,133,-1.375,119.875
5.343924138258633E-6,134,-1.625,119.875
7.501165030810984E-6,135,-1.875,119.875
6.587073587491492E-6,136,-2.125,119.875
8.698318324163988E-6,137,-2.375,119.875
8.602379269989257E-6,138,-2.625,119.875
5.557214899957885E-6,139,-2.875,119.875
6.017988624264027E-6,140,-3.125,119.875
8.041945361867584E-6,141,-3.375,119.875
7.362050023225253E-6,142,-3.625,119.875
7.949825217162242E-6,143,-3.875,119.875
1.1490073912580334E-5,144,-4.125,119.875
1.0751234676496808E-5,145,-4.375,119.875
7.902650702470723E-6,146,-4.625,119.875
6.5456183202805306E-6,147,-4.875,119.875
7.935722688230839E-6,148,-5.125,119.875
9.541158668661816E-6,149,-5.375,119.875
8.963891513884565E-6,150,-5.625,119.875
1.0372762326017948E-5,151,-5.875,119.875
9.609117764566096E-6,152,-6.125,119.875
8.084796957816986E-6,153,-6.375,119.875
8.423319010819418E-6,154,-6.625,119.875
9.432499392950472E-6,155,-6.875,119.875
7.996754034281124E-6,156,-7.125,119.875
8.323552295041469E-6,157,-7.375,119.875
8.934069905377446E-6,158,-7.625,119.875
9.388238900276827E-6,159,-7.875,119.875
9.633337359477955E-6,160,-8.125,119.875
1.1050396099773192E-5,161,-8.375,119.875
1.0462161514449051E-5,162,-8.625,119.875
8.230331218427857E-6,163,-8.875,119.875
1.0419236881323054E-5,164,-9.125,119.875
1.1866892243722329E-5,165,-9.375,119.875
1.1948118879882494E-5,166,-9.625,119.875
