,lon,lat
0,83.875,31.875
1,83.875,31.625
2,83.875,31.375
3,83.875,31.125
4,83.875,30.875
5,83.875,30.625
6,83.875,30.375
7,83.875,30.125
8,83.875,29.875
9,83.875,29.625
10,83.875,29.375
11,83.875,29.125
12,83.875,28.875
13,83.875,28.625
14,83.875,28.375
15,83.875,28.125
16,83.875,27.875
17,83.875,27.625
18,83.875,27.375
19,83.875,27.125
20,83.875,26.875
21,83.875,26.625
22,83.875,26.375
23,83.875,26.125
24,83.875,25.875
25,83.875,25.625
26,83.875,25.375
27,83.875,25.125
28,83.875,24.875
29,83.875,24.625
30,83.875,24.375
31,83.875,24.125
32,83.875,23.875
33,83.875,23.625
34,83.875,23.375
35,83.875,23.125
36,83.875,22.875
37,83.875,22.625
38,83.875,22.375
39,83.875,22.125
40,83.875,21.875
41,83.875,21.625
42,83.875,21.375
43,83.875,21.125
44,83.875,20.875
45,83.875,20.625
46,83.875,20.375
47,83.875,20.125
48,83.875,19.875
49,83.875,19.625
50,83.875,19.375
51,83.875,19.125
52,83.875,18.875
53,83.875,18.625
54,83.875,18.375
55,83.875,18.125
56,83.875,17.875
57,83.875,17.625
58,83.875,17.375
59,83.875,17.125
60,83.875,16.875
61,83.875,16.625
62,83.875,16.375
63,83.875,16.125
64,83.875,15.875
65,83.875,15.625
66,83.875,15.375
67,83.875,15.125
68,83.875,14.875
69,83.875,14.625
70,83.875,14.375
71,83.875,14.125
72,83.875,13.875
73,83.875,13.625
74,83.875,13.375
75,83.875,13.125
76,83.875,12.875
77,83.875,12.625
78,83.875,12.375
79,83.875,12.125
80,83.875,11.875
81,83.875,11.625
82,83.875,11.375
83,83.875,11.125
84,83.875,10.875
85,83.875,10.625
86,83.875,10.375
87,83.875,10.125
88,83.875,9.875
89,83.875,9.625
90,83.875,9.375
91,83.875,9.125
92,83.875,8.875
93,83.875,8.625
94,83.875,8.375
95,83.875,8.125
96,83.875,7.875
97,83.875,7.625
98,83.875,7.375
99,83.875,7.125
100,83.875,6.875
101,83.875,6.625
102,83.875,6.375
103,83.875,6.125
104,83.875,5.875
105,83.875,5.625
106,83.875,5.375
107,83.875,5.125
108,83.875,4.875
109,83.875,4.625
110,83.875,4.375
111,83.875,4.125
112,83.875,3.875
113,83.875,3.625
114,83.875,3.375
115,83.875,3.125
116,83.875,2.875
117,83.875,2.625
118,83.875,2.375
119,83.875,2.125
120,83.875,1.875
121,83.875,1.625
122,83.875,1.375
123,83.875,1.125
124,83.875,0.875
125,83.875,0.625
126,83.875,0.375
127,83.875,0.125
128,83.875,-0.125
129,83.875,-0.375
130,83.875,-0.625
131,83.875,-0.875
132,83.875,-1.125
133,83.875,-1.375
134,83.875,-1.625
135,83.875,-1.875
136,83.875,-2.125
137,83.875,-2.375
138,83.875,-2.625
139,83.875,-2.875
140,83.875,-3.125
141,83.875,-3.375
142,83.875,-3.625
143,83.875,-3.875
144,83.875,-4.125
145,83.875,-4.375
146,83.875,-4.625
147,83.875,-4.875
148,83.875,-5.125
149,83.875,-5.375
150,83.875,-5.625
151,83.875,-5.875
152,83.875,-6.125
153,83.875,-6.375
154,83.875,-6.625
155,83.875,-6.875
156,83.875,-7.125
157,83.875,-7.375
158,83.875,-7.625
159,83.875,-7.875
160,83.875,-8.125
161,83.875,-8.375
162,83.875,-8.625
163,83.875,-8.875
164,83.875,-9.125
165,83.875,-9.375
166,83.875,-9.625
167,83.875,-9.875
168,83.875,-10.125
169,83.875,-10.375
170,83.875,-10.625
171,83.875,-10.875
172,83.875,-11.125
173,83.875,-11.375
174,83.875,-11.625
175,83.875,-11.875
176,84.125,31.875
177,84.125,31.625
178,84.125,31.375
179,84.125,31.125
180,84.125,30.875
181,84.125,30.625
182,84.125,30.375
183,84.125,30.125
184,84.125,29.875
185,84.125,29.625
186,84.125,29.375
187,84.125,29.125
188,84.125,28.875
189,84.125,28.625
190,84.125,28.375
191,84.125,28.125
192,84.125,27.875
193,84.125,27.625
194,84.125,27.375
195,84.125,27.125
196,84.125,26.875
197,84.125,26.625
198,84.125,26.375
199,84.125,26.125
200,84.125,25.875
201,84.125,25.625
202,84.125,25.375
203,84.125,25.125
204,84.125,24.875
205,84.125,24.625
206,84.125,24.375
207,84.125,24.125
208,84.125,23.875
209,84.125,23.625
210,84.125,23.375
211,84.125,23.125
212,84.125,22.875
213,84.125,22.625
214,84.125,22.375
215,84.125,22.125
216,84.125,21.875
217,84.125,21.625
218,84.125,21.375
219,84.125,21.125
220,84.125,20.875
221,84.125,20.625
222,84.125,20.375
223,84.125,20.125
224,84.125,19.875
225,84.125,19.625
226,84.125,19.375
227,84.125,19.125
228,84.125,18.875
229,84.125,18.625
230,84.125,18.375
231,84.125,18.125
232,84.125,17.875
233,84.125,17.625
234,84.125,17.375
235,84.125,17.125
236,84.125,16.875
237,84.125,16.625
238,84.125,16.375
239,84.125,16.125
240,84.125,15.875
241,84.125,15.625
242,84.125,15.375
243,84.125,15.125
244,84.125,14.875
245,84.125,14.625
246,84.125,14.375
247,84.125,14.125
248,84.125,13.875
249,84.125,13.625
250,84.125,13.375
251,84.125,13.125
252,84.125,12.875
253,84.125,12.625
254,84.125,12.375
255,84.125,12.125
256,84.125,11.875
257,84.125,11.625
258,84.125,11.375
259,84.125,11.125
260,84.125,10.875
261,84.125,10.625
262,84.125,10.375
263,84.125,10.125
264,84.125,9.875
265,84.125,9.625
266,84.125,9.375
267,84.125,9.125
268,84.125,8.875
269,84.125,8.625
270,84.125,8.375
271,84.125,8.125
272,84.125,7.875
273,84.125,7.625
274,84.125,7.375
275,84.125,7.125
276,84.125,6.875
277,84.125,6.625
278,84.125,6.375
279,84.125,6.125
280,84.125,5.875
281,84.125,5.625
282,84.125,5.375
283,84.125,5.125
284,84.125,4.875
285,84.125,4.625
286,84.125,4.375
287,84.125,4.125
288,84.125,3.875
289,84.125,3.625
290,84.125,3.375
291,84.125,3.125
292,84.125,2.875
293,84.125,2.625
294,84.125,2.375
295,84.125,2.125
296,84.125,1.875
297,84.125,1.625
298,84.125,1.375
299,84.125,1.125
300,84.125,0.875
301,84.125,0.625
302,84.125,0.375
303,84.125,0.125
304,84.125,-0.125
305,84.125,-0.375
306,84.125,-0.625
307,84.125,-0.875
308,84.125,-1.125
309,84.125,-1.375
310,84.125,-1.625
311,84.125,-1.875
312,84.125,-2.125
313,84.125,-2.375
314,84.125,-2.625
315,84.125,-2.875
316,84.125,-3.125
317,84.125,-3.375
318,84.125,-3.625
319,84.125,-3.875
320,84.125,-4.125
321,84.125,-4.375
322,84.125,-4.625
323,84.125,-4.875
324,84.125,-5.125
325,84.125,-5.375
326,84.125,-5.625
327,84.125,-5.875
328,84.125,-6.125
329,84.125,-6.375
330,84.125,-6.625
331,84.125,-6.875
332,84.125,-7.125
333,84.125,-7.375
334,84.125,-7.625
335,84.125,-7.875
336,84.125,-8.125
337,84.125,-8.375
338,84.125,-8.625
339,84.125,-8.875
340,84.125,-9.125
341,84.125,-9.375
342,84.125,-9.625
343,84.125,-9.875
344,84.125,-10.125
345,84.125,-10.375
346,84.125,-10.625
347,84.125,-10.875
348,84.125,-11.125
349,84.125,-11.375
350,84.125,-11.625
351,84.125,-11.875
352,84.375,31.875
353,84.375,31.625
354,84.375,31.375
355,84.375,31.125
356,84.375,30.875
357,84.375,30.625
358,84.375,30.375
359,84.375,30.125
360,84.375,29.875
361,84.375,29.625
362,84.375,29.375
363,84.375,29.125
364,84.375,28.875
365,84.375,28.625
366,84.375,28.375
367,84.375,28.125
368,84.375,27.875
369,84.375,27.625
370,84.375,27.375
371,84.375,27.125
372,84.375,26.875
373,84.375,26.625
374,84.375,26.375
375,84.375,26.125
376,84.375,25.875
377,84.375,25.625
378,84.375,25.375
379,84.375,25.125
380,84.375,24.875
381,84.375,24.625
382,84.375,24.375
383,84.375,24.125
384,84.375,23.875
385,84.375,23.625
386,84.375,23.375
387,84.375,23.125
388,84.375,22.875
389,84.375,22.625
390,84.375,22.375
391,84.375,22.125
392,84.375,21.875
393,84.375,21.625
394,84.375,21.375
395,84.375,21.125
396,84.375,20.875
397,84.375,20.625
398,84.375,20.375
399,84.375,20.125
400,84.375,19.875
401,84.375,19.625
402,84.375,19.375
403,84.375,19.125
404,84.375,18.875
405,84.375,18.625
406,84.375,18.375
407,84.375,18.125
408,84.375,17.875
409,84.375,17.625
410,84.375,17.375
411,84.375,17.125
412,84.375,16.875
413,84.375,16.625
414,84.375,16.375
415,84.375,16.125
416,84.375,15.875
417,84.375,15.625
418,84.375,15.375
419,84.375,15.125
420,84.375,14.875
421,84.375,14.625
422,84.375,14.375
423,84.375,14.125
424,84.375,13.875
425,84.375,13.625
426,84.375,13.375
427,84.375,13.125
428,84.375,12.875
429,84.375,12.625
430,84.375,12.375
431,84.375,12.125
432,84.375,11.875
433,84.375,11.625
434,84.375,11.375
435,84.375,11.125
436,84.375,10.875
437,84.375,10.625
438,84.375,10.375
439,84.375,10.125
440,84.375,9.875
441,84.375,9.625
442,84.375,9.375
443,84.375,9.125
444,84.375,8.875
445,84.375,8.625
446,84.375,8.375
447,84.375,8.125
448,84.375,7.875
449,84.375,7.625
450,84.375,7.375
451,84.375,7.125
452,84.375,6.875
453,84.375,6.625
454,84.375,6.375
455,84.375,6.125
456,84.375,5.875
457,84.375,5.625
458,84.375,5.375
459,84.375,5.125
460,84.375,4.875
461,84.375,4.625
462,84.375,4.375
463,84.375,4.125
464,84.375,3.875
465,84.375,3.625
466,84.375,3.375
467,84.375,3.125
468,84.375,2.875
469,84.375,2.625
470,84.375,2.375
471,84.375,2.125
472,84.375,1.875
473,84.375,1.625
474,84.375,1.375
475,84.375,1.125
476,84.375,0.875
477,84.375,0.625
478,84.375,0.375
479,84.375,0.125
480,84.375,-0.125
481,84.375,-0.375
482,84.375,-0.625
483,84.375,-0.875
484,84.375,-1.125
485,84.375,-1.375
486,84.375,-1.625
487,84.375,-1.875
488,84.375,-2.125
489,84.375,-2.375
490,84.375,-2.625
491,84.375,-2.875
492,84.375,-3.125
493,84.375,-3.375
494,84.375,-3.625
495,84.375,-3.875
496,84.375,-4.125
497,84.375,-4.375
498,84.375,-4.625
499,84.375,-4.875
500,84.375,-5.125
501,84.375,-5.375
502,84.375,-5.625
503,84.375,-5.875
504,84.375,-6.125
505,84.375,-6.375
506,84.375,-6.625
507,84.375,-6.875
508,84.375,-7.125
509,84.375,-7.375
510,84.375,-7.625
511,84.375,-7.875
512,84.375,-8.125
513,84.375,-8.375
514,84.375,-8.625
515,84.375,-8.875
516,84.375,-9.125
517,84.375,-9.375
518,84.375,-9.625
519,84.375,-9.875
520,84.375,-10.125
521,84.375,-10.375
522,84.375,-10.625
523,84.375,-10.875
524,84.375,-11.125
525,84.375,-11.375
526,84.375,-11.625
527,84.375,-11.875
528,84.625,31.875
529,84.625,31.625
530,84.625,31.375
531,84.625,31.125
532,84.625,30.875
533,84.625,30.625
534,84.625,30.375
535,84.625,30.125
536,84.625,29.875
537,84.625,29.625
538,84.625,29.375
539,84.625,29.125
540,84.625,28.875
541,84.625,28.625
542,84.625,28.375
543,84.625,28.125
544,84.625,27.875
545,84.625,27.625
546,84.625,27.375
547,84.625,27.125
548,84.625,26.875
549,84.625,26.625
550,84.625,26.375
551,84.625,26.125
552,84.625,25.875
