,date,country,driving,walking
0,2020/3/1,Cambodia,71.41,84.35
1,2020/3/2,Cambodia,70.89,86.82
2,2020/3/3,Cambodia,71.91,83.31
3,2020/3/4,Cambodia,69.82,85.81
4,2020/3/5,Cambodia,69.35,83.74
5,2020/3/6,Cambodia,72.68,86.25
6,2020/3/7,Cambodia,72.28,92.46
7,2020/3/8,Cambodia,67.53,79.77
8,2020/3/9,Cambodia,63.06,83.51
9,2020/3/10,Cambodia,63.34,79.11
10,2020/3/11,Cambodia,56.33,75.87
11,2020/3/12,Cambodia,48.49,73.87
12,2020/3/13,Cambodia,49.14,75.4
13,2020/3/14,Cambodia,45.88,74.57
14,2020/3/15,Cambodia,42.68,67.12
15,2020/3/16,Cambodia,39.81,69.86
16,2020/3/17,Cambodia,34.71,60.98
17,2020/3/18,Cambodia,33.31,62.35
18,2020/3/19,Cambodia,33.16,59.25
19,2020/3/20,Cambodia,33.23,60.71
20,2020/3/21,Cambodia,32.71,66.15
21,2020/3/22,Cambodia,31.25,62.12
22,2020/3/23,Cambodia,30.71,56.11
23,2020/3/24,Cambodia,27.84,53.47
24,2020/3/25,Cambodia,29.27,55.54
25,2020/3/26,Cambodia,28.76,54.67
26,2020/3/27,Cambodia,28.59,55.44
27,2020/3/28,Cambodia,28.92,50.2
28,2020/3/29,Cambodia,29.03,56.07
29,2020/3/30,Cambodia,29.47,53.97
30,2020/3/31,Cambodia,29.56,55.57
31,2020/4/1,Cambodia,29.22,56.94
32,2020/4/2,Cambodia,28.82,53.6
33,2020/4/3,Cambodia,29.71,55.87
34,2020/4/4,Cambodia,29.66,54.11
35,2020/4/5,Cambodia,30.57,55.17
36,2020/4/6,Cambodia,30.83,58.01
37,2020/4/7,Cambodia,28.91,50.03
38,2020/4/8,Cambodia,29.96,55.31
39,2020/4/9,Cambodia,26.31,52.3
40,2020/4/10,Cambodia,27.3,58.85
41,2020/4/11,Cambodia,26.96,46.3
42,2020/4/12,Cambodia,24.13,47.6
43,2020/4/13,Cambodia,24.08,43.52
44,2020/4/14,Cambodia,25.14,45.49
45,2020/4/15,Cambodia,25.29,43.09
46,2020/4/16,Cambodia,28.68,44.69
47,2020/4/17,Cambodia,30.84,57.64
48,2020/4/18,Cambodia,31.03,52.5
49,2020/4/19,Cambodia,32.0,55.84
50,2020/4/20,Cambodia,31.94,53.47
51,2020/4/21,Cambodia,32.07,60.45
