country,date,grid_x,grid_y,n_crisis,difference,baseline,movement_value,grid_lon,grid_lat
BN,2021-01-01,89,96,20157.0,-2861.9999999999995,23019.000000000004,10078.5,114.625,4.375
BN,2021-01-01,90,94,95055.0,-7960.0,103015.0000000001,47527.5,114.875,4.875
BN,2021-01-01,91,95,1650.0,-328.3999999999999,1978.4,825.0,115.125,4.625
BN,2021-01-02,89,95,6660.0,-1192.7999999999995,7852.8,3330.0,114.625,4.625
BN,2021-01-02,89,96,18266.0,-3777.2,22043.200000000004,9133.0,114.625,4.375
BN,2021-01-02,90,94,85110.0,-11987.600000000002,97097.59999999992,42555.0,114.875,4.875
BN,2021-01-02,91,95,1310.0,-422.0,1732.0,655.0,115.125,4.625
BN,2021-01-03,89,95,7798.0,-1358.4,9156.4,3899.0,114.625,4.625
BN,2021-01-03,89,96,20145.0,-3989.999999999999,24135.0,10072.5,114.625,4.375
BN,2021-01-03,90,94,91019.0,-14848.00000000001,105866.99999999996,45509.5,114.875,4.875
BN,2021-01-03,91,95,1480.0,-514.8000000000001,1994.8,740.0,115.125,4.625
BN,2021-01-04,89,95,6066.0,-1910.4000000000003,7976.4,3033.0,114.625,4.625
BN,2021-01-04,89,96,17998.0,-4755.200000000001,22753.2,8999.0,114.625,4.375
BN,2021-01-04,90,94,78046.0,-18561.200000000008,96607.19999999998,39023.0,114.875,4.875
BN,2021-01-04,91,95,904.0,-382.8,1286.8,452.0,115.125,4.625
BN,2021-01-05,89,95,6831.0,-1670.4,8501.4,3415.5,114.625,4.625
BN,2021-01-05,89,96,20363.0,-4401.999999999999,24764.999999999996,10181.5,114.625,4.375
BN,2021-01-05,90,94,90076.0,-15753.999999999987,105829.99999999996,45038.0,114.875,4.875
BN,2021-01-05,91,95,1254.0,-384.4,1638.4,627.0,115.125,4.625
BN,2021-01-06,89,95,6443.0,-1657.5,8100.5,3221.5,114.625,4.625
BN,2021-01-06,89,96,19770.0,-4405.5,24175.5,9885.0,114.625,4.375
BN,2021-01-06,90,94,85806.0,-16347.5,102153.5,42903.0,114.875,4.875
BN,2021-01-06,91,95,1043.0,-386.0,1429.0,521.5,115.125,4.625
BN,2021-01-07,89,95,6544.0,-1376.8,7920.799999999998,3272.0,114.625,4.625
BN,2021-01-07,89,96,19598.0,-3993.6,23591.60000000001,9799.0,114.625,4.375
BN,2021-01-07,90,94,86089.0,-14139.59999999999,100228.60000000008,43044.5,114.875,4.875
BN,2021-01-07,91,95,1065.0,-452.8,1517.8000000000002,532.5,115.125,4.625
BN,2021-01-08,89,95,6989.0,-1512.3999999999994,8501.4,3494.5,114.625,4.625
BN,2021-01-08,89,96,19367.0,-3944.7999999999993,23311.800000000007,9683.5,114.625,4.375
BN,2021-01-08,90,94,85722.0,-14622.400000000009,100344.4000000001,42861.0,114.875,4.875
BN,2021-01-08,91,95,982.0,-486.0,1467.9999999999995,491.0,115.125,4.625
BN,2021-01-09,89,95,6012.0,-1500.0000000000005,7511.999999999997,3006.0,114.625,4.625
BN,2021-01-09,89,96,18182.0,-3870.4,22052.4,9091.0,114.625,4.375
BN,2021-01-09,90,94,79210.0,-14744.799999999996,93954.79999999996,39605.0,114.875,4.875
BN,2021-01-09,91,95,996.0,-410.4,1406.4,498.0,115.125,4.625
BN,2021-01-10,89,95,7357.0,-1525.6,8882.599999999999,3678.5,114.625,4.625
BN,2021-01-10,89,96,18865.0,-4460.8,23325.8,9432.5,114.625,4.375
BN,2021-01-10,90,94,85574.0,-15994.000000000004,101567.99999999996,42787.0,114.875,4.875
BN,2021-01-10,91,95,1252.0,-578.4000000000001,1830.4,626.0,115.125,4.625
BN,2021-01-11,89,95,6487.0,-2093.2000000000016,8580.199999999995,3243.5,114.625,4.625
BN,2021-01-11,89,96,19232.0,-4933.200000000002,24165.199999999997,9616.0,114.625,4.375
BN,2021-01-11,90,94,84281.0,-20002.400000000005,104283.4,42140.5,114.875,4.875
BN,2021-01-11,91,95,1150.0,-465.2000000000001,1615.2,575.0,115.125,4.625
BN,2021-01-12,89,95,5976.0,-1479.6,7455.600000000001,2988.0,114.625,4.625
BN,2021-01-12,89,96,18416.0,-4289.200000000001,22705.199999999997,9208.0,114.625,4.375
BN,2021-01-12,90,94,78106.0,-16703.59999999999,94809.6,39053.0,114.875,4.875
BN,2021-01-12,91,95,790.0,-405.6,1195.6,395.0,115.125,4.625
BN,2021-01-13,89,95,7132.0,-1785.0,8917.0,3566.0,114.625,4.625
BN,2021-01-13,89,96,20682.0,-4281.5,24963.5,10341.0,114.625,4.375
BN,2021-01-13,90,94,89986.0,-17778.5,107764.5,44993.0,114.875,4.875
BN,2021-01-13,91,95,1240.0,-423.0,1663.0,620.0,115.125,4.625
BN,2021-01-14,89,95,6476.0,-1803.2,8279.199999999999,3238.0,114.625,4.625
BN,2021-01-14,89,96,19827.0,-4469.200000000002,24296.200000000004,9913.5,114.625,4.375
BN,2021-01-14,90,94,85972.0,-17061.19999999999,103033.20000000004,42986.0,114.875,4.875
BN,2021-01-14,91,95,1087.0,-506.0,1593.0,543.5,115.125,4.625
BN,2021-01-15,89,95,6421.0,-1919.2000000000005,8340.199999999999,3210.5,114.625,4.625
BN,2021-01-15,89,96,18372.0,-5297.599999999999,23669.6,9186.0,114.625,4.375
BN,2021-01-15,90,94,83852.0,-19153.59999999997,103005.60000000014,41926.0,114.875,4.875
BN,2021-01-15,91,95,1001.0,-470.4,1471.4,500.5,115.125,4.625
BN,2021-01-16,89,95,6999.0,-2112.4000000000005,9111.4,3499.5,114.625,4.625
BN,2021-01-16,89,96,19756.0,-4747.600000000001,24503.6,9878.0,114.625,4.375
BN,2021-01-16,90,94,90563.0,-18621.199999999997,109184.2,45281.5,114.875,4.875
BN,2021-01-16,91,95,1378.0,-500.7999999999999,1878.8,689.0,115.125,4.625
BN,2021-01-17,89,95,7562.0,-2102.8000000000006,9664.799999999994,3781.0,114.625,4.625
BN,2021-01-17,89,96,19893.0,-4778.000000000001,24671.0,9946.5,114.625,4.375
BN,2021-01-17,90,94,90991.0,-18721.60000000001,109712.59999999992,45495.5,114.875,4.875
BN,2021-01-17,91,95,1466.0,-582.8000000000001,2048.8,733.0,115.125,4.625
BN,2021-01-18,89,95,5844.0,-2625.6,8469.599999999999,2922.0,114.625,4.625
BN,2021-01-18,89,96,18233.0,-5862.000000000002,24095.0,9116.5,114.625,4.375
BN,2021-01-18,90,94,80418.0,-23472.0,103890.0,40209.0,114.875,4.875
BN,2021-01-18,91,95,945.0,-535.6000000000001,1480.6,472.5,115.125,4.625
BN,2021-01-19,89,95,5521.0,-2104.0,7625.000000000002,2760.5,114.625,4.625
BN,2021-01-19,89,96,18026.0,-5297.2,23323.199999999997,9013.0,114.625,4.375
BN,2021-01-19,90,94,76821.0,-20961.60000000001,97782.59999999998,38410.5,114.875,4.875
BN,2021-01-19,91,95,900.0,-490.8,1390.8,450.0,115.125,4.625
BN,2021-01-20,89,95,5590.0,-2187.5,7777.5,2795.0,114.625,4.625
BN,2021-01-20,89,96,18124.0,-5236.0,23360.0,9062.0,114.625,4.375
BN,2021-01-20,90,94,75788.0,-22101.0,97889.0,37894.0,114.875,4.875
BN,2021-01-20,91,95,962.0,-545.5,1507.5,481.0,115.125,4.625
BN,2021-01-21,89,95,6544.0,-1899.6000000000004,8443.599999999999,3272.0,114.625,4.625
BN,2021-01-21,89,96,19641.0,-4870.800000000001,24511.800000000007,9820.5,114.625,4.375
BN,2021-01-21,90,94,86716.0,-19253.2,105969.19999999998,43358.0,114.875,4.875
BN,2021-01-21,91,95,1157.0,-416.4,1573.4,578.5,115.125,4.625
BN,2021-01-22,89,95,7181.0,-1761.9999999999998,8943.000000000004,3590.5,114.625,4.625
BN,2021-01-22,89,96,19579.0,-5094.399999999997,24673.400000000005,9789.5,114.625,4.375
BN,2021-01-22,90,94,88666.0,-18412.4,107078.40000000013,44333.0,114.875,4.875
BN,2021-01-22,91,95,1326.0,-460.0,1786.0,663.0,115.125,4.625
BN,2021-01-23,89,95,6454.0,-1887.6000000000008,8341.599999999997,3227.0,114.625,4.625
BN,2021-01-23,89,96,18647.0,-5308.8,23955.8,9323.5,114.625,4.375
BN,2021-01-23,90,94,87060.0,-18904.800000000003,105964.79999999996,43530.0,114.875,4.875
BN,2021-01-23,91,95,1397.0,-489.2,1886.2,698.5,115.125,4.625
BN,2021-01-24,89,95,6676.0,-1955.2000000000005,8631.199999999997,3338.0,114.625,4.625
BN,2021-01-24,89,96,17668.0,-5528.000000000001,23196.0,8834.0,114.625,4.375
BN,2021-01-24,90,94,81842.0,-19571.600000000013,101413.59999999996,40921.0,114.875,4.875
BN,2021-01-24,91,95,1266.0,-536.4000000000002,1802.4,633.0,115.125,4.625
BN,2021-01-25,89,95,6911.0,-2473.6000000000004,9384.6,3455.5,114.625,4.625
BN,2021-01-25,89,96,19535.0,-6211.6,25746.6,9767.5,114.625,4.375
BN,2021-01-25,90,94,89393.0,-24415.6,113808.59999999998,44696.5,114.875,4.875
BN,2021-01-25,91,95,1371.0,-464.80000000000007,1835.8,685.5,115.125,4.625
BN,2021-01-26,89,95,6291.0,-2129.6,8420.600000000002,3145.5,114.625,4.625
